property_id,is_new_construction,is_for_rent,is_subdivision,is_contingent,is_price_reduced,is_pending,is_foreclosure,is_plan,is_coming_soon,is_new_listing,year_built,baths_3qtr,sold_date,sold_price,baths_full,name,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,list_date,list_price,status,postal_code,state,state_code,city,county,address_line,latitude,longitude,tags
6473658649,,,,,,,,,,,1987,,2022-10-11,225000,,,,87120,1920,1,,,,1,,single_family,,,sold,39817,Georgia,GA,Bainbridge,Decatur,1967 E River Rd,30.929528,-84.554828,
6160436294,,,,,,,,,,,1994,,2022-10-06,160000,,,,26861,1139,1,,,,1,,single_family,,,sold,39817,Georgia,GA,Bainbridge,Decatur,1037 E Cumberland Ct,30.9276,-84.543847,
5156456005,,,,,,,,,,,2002,,2022-10-04,283000,,,,87120,1780,1,,,,1,,single_family,,,sold,39817,Georgia,GA,Bainbridge,Decatur,124 Rivervale Dr,30.938724,-84.558296,
9963423545,,,,,,,,,,,,,2022-09-30,65000,,,,1376496,0,,,,,0,,farm,,,sold,39817,Georgia,GA,Bainbridge,Decatur,222 S Bruton St,30.875229,-84.54516,
5004542904,,,,,,,,,,,1982,,2022-09-29,50000,,,,43560,1824,1,,,,2,,single_family,,,sold,39819,Georgia,GA,Bainbridge,Decatur,198 McLeroy Rd,30.732514,-84.836462,
6464044036,,,,,,,,,,,2000,,2022-09-28,98300,,,,99317,1920,,,,,0,,single_family,,,sold,39817,Georgia,GA,Bainbridge,Decatur,171 N Donalson St,31.012734,-84.643678,
5777767034,,,,,,,,,,,1998,,2022-09-26,86143,1,,1,12632,1333,1,,,,1,,single_family,,,sold,39817,Georgia,GA,Bainbridge,Decatur,915 E Cheney St,30.911488,-84.56468,
6367196059,,,,,,,,,,,2003,,2022-09-26,210000,,,,47635,3100,1,,,,1,,single_family,,,sold,39819,Georgia,GA,Bainbridge,Decatur,1014 Meadow Ridge Dr,30.88022,-84.531851,
6455368531,,,,,,,,,,,2005,,2022-09-21,240000,2,,,3994,1420,1,,,,1,,single_family,,,sold,39819,Georgia,GA,Bainbridge,Decatur,111 E Pointe Cv,30.898327,-84.537527,
6234605088,,,,,,,,,,,2000,,2022-09-20,310000,2,,,65270,1956,1,,,,1,,single_family,,,sold,39819,Georgia,GA,Bainbridge,Decatur,142 Turtle Pond Rd,30.881008,-84.526721,
6565034740,,,,,,,,,,,2003,,2022-09-19,135000,,,,31922,1144,1,,,,1,,single_family,,,sold,39817,Georgia,GA,Bainbridge,Decatur,1037 N Gate Cir,30.912373,-84.537646,
6108795267,,,,,,,,,,,1997,,2022-09-19,132000,,,,41793,1848,,,,,0,,single_family,,,sold,39817,Georgia,GA,Bainbridge,Decatur,284 Kelley Rd,30.917121,-84.634791,
6339583249,,,,,,,,,,,1950,,2022-09-15,80000,2,,,9583,1228,1,,,,1,,single_family,,,sold,39819,Georgia,GA,Bainbridge,Decatur,503 Potter St,30.901458,-84.573938,
9193622129,,,,,,,,,,,,,2022-09-15,39000,,,,1568160,0,,,,,0,,land,,,sold,39819,Georgia,GA,Bainbridge,Decatur,1547 Booster Club Rd,30.744777,-84.821827,
6974430070,,,,,,,,,,,1985,,2022-09-15,210000,,,,126324,1547,1,,,,1,,single_family,,,sold,39817,Georgia,GA,Bainbridge,Decatur,178 Mills Rd,30.936555,-84.529613,
6167712722,,,,,,,,,,,2008,,2022-09-14,274000,,,,87120,2112,1,,,,1,,single_family,,,sold,39817,Georgia,GA,Bainbridge,Decatur,4034 Vada Rd,31.015826,-84.46664,
6183923407,,,,,,,,,,,1997,,2022-09-12,285000,,,,50168,2235,1,,,,1,,single_family,,,sold,39819,Georgia,GA,Bainbridge,Decatur,235 River Chase Dr,30.87473,-84.611067,
6441282005,,,,,,,,,,,1996,,2022-09-12,329000,2,,,30151,1928,1,,,,1,,single_family,,,sold,39817,Georgia,GA,Bainbridge,Decatur,194 Rolenstro Rd,30.93794,-84.556859,
6459318721,,,,,,,,,,,1977,,2022-09-07,255000,2,,,17208,2364,1,,,,1,,single_family,,,sold,39819,Georgia,GA,Bainbridge,Decatur,1107 Douglas Dr,30.885691,-84.55904,
9849098356,,,,,,,,,,False,,,2022-09-07,2232,,,,,,0,,,,,,land,2022-08-01T19:25:09Z,1000,sold,39819,Georgia,GA,Bainbridge,Decatur,601 W Orange St,30.896272,-84.581967,
6153333203,,,,,,,,,,False,,,2022-09-07,1743,,,,,,0,,,,,,land,2022-08-01T19:25:09Z,1000,sold,39817,Georgia,GA,Bainbridge,Decatur,712 Albany Rd,30.911528,-84.567979,
6030685851,,,,,,,,,,,1958,,2022-09-06,60000,,,,43560,2010,1,,,,2,,single_family,,,sold,39819,Georgia,GA,Bainbridge,Decatur,174 Cairo Rd,30.782212,-84.717605,
6434723199,,,,,,,,,,,1971,,2022-09-06,151400,1,,,13939,1050,1,,,,1,,single_family,,,sold,39819,Georgia,GA,Bainbridge,Decatur,1120 Julia Cir,30.891906,-84.558523,
6141402966,,,,,,,,,,,1981,,2022-09-06,235000,,,,199940,2790,1,,,,1,,single_family,,,sold,39817,Georgia,GA,Bainbridge,Decatur,196 Carl Brock Rd,30.986777,-84.487235,
6441766462,,,,,,,,,,,1962,,2022-09-02,280000,1,,1,20038,2453,1,,,,1,,single_family,,,sold,39819,Georgia,GA,Bainbridge,Decatur,1512 E College St,30.897259,-84.551161,
6449517778,,,,,,,,,,,1966,,2022-09-01,240000,2,,,30928,1761,1,,,,1,,single_family,,,sold,39819,Georgia,GA,Bainbridge,Decatur,1705 Lake Douglas Rd,30.886977,-84.558164,
6180845528,,,,,,,,,,,2000,,2022-09-01,48000,,,,266587,1200,1,,,,0,,commercial,,,sold,39817,Georgia,GA,Bainbridge,Decatur,2639 Newton Rd,31.026294,-84.545016,
6486634657,,,,,,,,,,,2006,,2022-08-31,440000,,,,50275,2498,1,,,,1,,single_family,,,sold,39819,Georgia,GA,Bainbridge,Decatur,1004 Kyles Way,30.885115,-84.536567,
5948852012,,,,,,,,,,,2006,,2022-08-31,249000,,,,9867,1522,1,,,,1,,single_family,,,sold,39819,Georgia,GA,Bainbridge,Decatur,104 Wild Turkey Ct,30.86316,-84.580902,
6430400350,,,,,,,,,,,1977,,2022-08-31,180000,2,,,14810,1384,1,,,,1,,single_family,,,sold,39819,Georgia,GA,Bainbridge,Decatur,908 Stewart Ave,30.896503,-84.55603,
6020328883,,,,,,,,,,,,,2022-08-29,130000,,,,43560,0,,,,,0,,single_family,,,sold,39819,Georgia,GA,Bainbridge,Decatur,616 Old Faceville Rd,30.754014,-84.643996,
6174606921,,,,,,,,,,,1970,,2022-08-26,26000,,,,23958,840,,,,,0,,single_family,,,sold,39819,Georgia,GA,Bainbridge,Decatur,150 Crawford Rd,30.872168,-84.600772,
6467025311,,,,,,,,,,,1984,,2022-08-26,134954,,,,29185,0,,,,,0,,single_family,,,sold,39817,Georgia,GA,Bainbridge,Decatur,126 Bethel Ln,30.93861,-84.615037,
5999456991,,,,,,,,,,False,1973,,2022-08-26,300000,2,,,,2307,2,,,2,1,4,single_family,2022-07-19T04:10:27Z,309000,sold,39819,Georgia,GA,Bainbridge,Decatur,1894 Booster Club Rd,30.736941,-84.845011,"['central_air', 'community_outdoor_space', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'garage_1_or_more', 'basketball_court', 'master_bathroom', 'tennis_court', 'big_lot', 'new_roof', 'playground', 'tennis', 'volleyball', 'lake']"
5225771912,,,,,,,,,,,1950,,2022-08-24,137800,1,,,10454,1276,1,,,,1,,single_family,,,sold,39819,Georgia,GA,Bainbridge,Decatur,835 Rose Cir,30.898978,-84.566684,
6346999171,,,,,,,,,,,1977,,2022-08-23,137800,1,,,12197,1200,1,,,,1,,single_family,,,sold,39819,Georgia,GA,Bainbridge,Decatur,1011 Hall St,30.894291,-84.57192,
