property_id,is_new_construction,is_for_rent,is_subdivision,is_contingent,is_price_reduced,is_pending,is_foreclosure,is_plan,is_coming_soon,is_new_listing,year_built,baths_3qtr,sold_date,sold_price,baths_full,name,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,list_date,list_price,status,postal_code,state,state_code,city,county,address_line,latitude,longitude,tags
5550010892,True,,,,True,,,,,False,2021,,2022-11-16,266900,3,,,39204,2378,3,,,,2,3,single_family,2022-02-10T04:21:47Z,259900,sold,30413,Georgia,GA,Bartow,Jefferson,7170 W Church St,32.889344,-82.47225,"['central_air', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'new_construction', 'two_or_more_stories', 'medicalcare']"
6408876013,,,,,,,,,,,,,2022-10-27,10000,,,,107158,0,,,,,0,,single_family,,,sold,30413,Georgia,GA,Bartow,Jefferson,1462 Dan Martin Rd,32.882057,-82.465732,
5521986903,,,,,,,,,,False,2013,,2022-10-11,260000,2,,,219978,1628,2,,,2,,3,single_family,2022-08-11T15:53:43Z,259900,sold,30413,Georgia,GA,Bartow,Jefferson,3868 Highway 221 S,32.936707,-82.470405,"['central_air', 'community_outdoor_space', 'den_or_office', 'dining_room', 'dishwasher', 'hardwood_floors', 'laundry_room', 'garage_1_or_more', 'garage_2_or_more', 'open_floor_plan', 'floor_plan', 'big_lot']"
9798869275,,,,,,,,,,,,,2022-10-04,25339,,,,210395,0,,,,,0,,single_family,,,sold,30413,Georgia,GA,Bartow,Jefferson,5320 Pollett Rd,32.794751,-82.489439,
6469898427,,,,,,,,,,,,,2022-10-03,122500,2,,,235224,1114,2,,,,1,,single_family,,,sold,30413,Georgia,GA,Bartow,Washington,811 Ej Ln,32.88007,-82.653808,
9574546389,,,,,False,,,,,False,1950,,2022-09-22,275000,3,,,4356000,1844,3,,,,1,5,single_family,2022-02-19T04:31:34Z,320000,sold,30413,Georgia,GA,Bartow,Johnson,5509 US Highway 221 N,32.80074,-82.512312,"['central_air', 'central_heat', 'family_room', 'single_story', 'swimming_pool', 'outbuilding', 'farm']"
5956569332,,,,,,,,,,False,1990,,2022-09-09,110000,1,,,60984,1073,1,,,,1,2,single_family,2022-07-21T04:36:09Z,114500,sold,30413,Georgia,GA,Bartow,Johnson,9346 US Highway 319 N,32.814137,-82.515442,"['carport', 'laundry_room', 'single_story', 'open_floor_plan', 'floor_plan', 'big_lot', 'new_roof']"
6680158316,,,,,,,,,,,,,2022-08-30,65000,,,,718740,0,,,,,0,,land,,,sold,30413,Georgia,GA,Bartow,Jefferson,3178 Friendship Church Rd,32.93179,-82.480356,
9453127257,,,,,,,,,,,1953,,2022-08-04,125000,2,,,87120,2054,2,,,,1,,single_family,,,sold,30413,Georgia,GA,Bartow,Johnson,8231 US Highway 319 N,32.794036,-82.544653,
9829728737,,,,,False,,,,,False,,,2022-07-20,40000,,,,635976,,0,,,,,,land,2021-02-12T18:58:31Z,50000,sold,30413,Georgia,GA,Bartow,Jefferson,Dukes Rd,,,['big_lot']
9841267742,,,,,,,,,,,2002,,2022-07-08,75000,2,,,609840,2128,2,,,,0,,mobile,,,sold,30413,Georgia,GA,Bartow,Washington,497 Shepard Rd,32.916842,-82.715473,
9424100931,,,,,,,,,,,,,2022-06-15,36200,,,,2073456,0,,,,,0,,farm,,,sold,30413,Georgia,GA,Bartow,Washington,8788 Salter Rd,32.835811,-82.542324,
9586272177,,,,,,,,,,False,,,2022-06-08,548000,,,,8323445,,0,,,,,,land,2022-05-07T03:53:05Z,573000,sold,30413,Georgia,GA,Bartow,Jefferson,Doyle Jackson Rd,,,"['view', 'water_view', 'big_lot', 'farm', 'ranch', 'investment_opportunity']"
9389859296,,,,,,,,,,False,,,2022-06-08,548000,,,,8319960,,0,,,,,,land,2022-05-06T18:35:24Z,573000,sold,30413,Georgia,GA,Bartow,Jefferson,Doyle Jackson Rd,,,"['river_view', 'water_view', 'big_lot', 'farm', 'ranch', 'investment_opportunity']"
