property_id,is_new_construction,is_for_rent,is_subdivision,is_contingent,is_price_reduced,is_pending,is_foreclosure,is_plan,is_coming_soon,is_new_listing,year_built,baths_3qtr,sold_date,sold_price,baths_full,name,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,list_date,list_price,status,postal_code,state,state_code,city,county,address_line,latitude,longitude,tags
9220303920,True,,,,,,,,,False,2022,,2022-11-23,385215,3,,,6098,2708,3,,,2,2,5,single_family,2022-08-18T20:49:49Z,385215,sold,31302,Georgia,GA,Bloomingdale,Chatham,141 Guana Ln,32.069122,-81.337257,"['central_air', 'central_heat', 'dishwasher', 'fireplace', 'laundry_room', 'new_construction', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'modern_kitchen', 'open_kitchen', 'high_ceiling', 'master_bedroom', 'front_porch']"
6163307697,,,,,False,,,,,False,1990,,2022-11-22,213000,2,,,91476,1250,2,,,,1,4,mobile,2022-09-07T13:13:44Z,210000,sold,31302,Georgia,GA,Bloomingdale,Effingham,955 Zeigler Rd,32.166108,-81.329478,"['central_air', 'central_heat', 'dishwasher', 'laundry_room', 'single_story', 'no_hoa', 'big_lot', 'medicalcare', 'shopping']"
9787925392,True,,,,,,,,,False,2022,,2022-11-17,382985,2,,1,6098,2698,3,,,2,2,4,single_family,2022-09-30T16:34:48Z,382985,sold,31302,Georgia,GA,Bloomingdale,Chatham,129 Guana Ln,32.069336,-81.337799,"['central_air', 'central_heat', 'dishwasher', 'laundry_room', 'new_construction', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'kitchen_island', 'gourmet_kitchen', 'high_ceiling', 'master_bedroom', 'first_floor_master_bedroom']"
9591091613,,,,,,,,,,False,,,2022-11-14,320000,,,,1252350,,,,,,,,land,2022-05-27T16:32:58Z,270000,sold,31302,Georgia,GA,Bloomingdale,Chatham,Osteen Rd,,,"['lake_view', 'river_view', 'view', 'water_view', 'waterfront', 'big_lot']"
9278670815,True,,,,,,,,,False,2022,,2022-11-09,317490,2,,,6098,1618,2,,,2,1,3,single_family,2022-11-11T19:19:23Z,317490,sold,31302,Georgia,GA,Bloomingdale,Chatham,432 Turpentine Trl,,,"['carport', 'central_air', 'central_heat', 'dishwasher', 'laundry_room', 'new_construction', 'recreation_facilities', 'community_swimming_pool', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'modern_kitchen', 'open_kitchen', 'smart_homes']"
6125465769,,,,,,,,,,False,2008,,2022-11-08,504500,3,,1,114563,3649,4,,,,2,4,single_family,2022-09-03T21:53:29Z,525000,sold,31302,Georgia,GA,Bloomingdale,Effingham,439 Old River Rd,32.160818,-81.385389,"['central_air', 'central_heat', 'community_outdoor_space', 'den_or_office', 'dishwasher', 'hardwood_floors', 'lake_view', 'laundry_room', 'recreation_facilities', 'rv_or_boat_parking', 'view', 'washer_dryer', 'water_view', 'two_or_more_stories', 'garage_1_or_more', 'waterfront', 'high_ceiling', 'big_lot', 'views', 'lake']"
6740903302,,,,,,,,,,,,,2022-11-02,87000,,,,26572,,0,,,,,,single_family,,,sold,31302,Georgia,GA,Bloomingdale,Effingham,208 Cypress Lakes Dr,32.162409,-81.392359,
6482324433,,,,,,,,,,,1976,,2022-11-02,150000,2,,,38768,1345,2,,,,1,,single_family,,,sold,31302,Georgia,GA,Bloomingdale,Effingham,252 Deerfield Rd E,32.159982,-81.326803,
9550933524,True,,,,,,,,,False,2022,,2022-10-31,374500,3,,,6970,3034,3,,,2,2,5,single_family,2022-11-01T18:57:17Z,374500,sold,31302,Georgia,GA,Bloomingdale,Chatham,105 Chilburn Cir,32.007832,-81.228981,"['central_air', 'central_heat', 'community_park', 'dishwasher', 'laundry_room', 'new_construction', 'recreation_facilities', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'modern_kitchen', 'kitchen_island', 'open_kitchen']"
9395122587,,,,,,,,,,False,,,2022-10-28,54500,,,,48787,,,,,,,,land,2022-10-31T01:56:19Z,57900,sold,31302,Georgia,GA,Bloomingdale,Chatham,S Elm St Lot 7,,,
9733060299,,,,,False,,,,,False,,,2022-10-28,87000,,,,26572,,,,,,,,land,2022-05-24T16:25:41Z,89000,sold,31302,Georgia,GA,Bloomingdale,Effingham,208 Cypress Lakes Dr Lot 132,32.162408,-81.392359,"['community_security_features', 'community_swimming_pool', 'lake']"
6137184271,,,,,,,,,,,1987,,2022-10-27,50000,,,,44431,,0,,,,,,single_family,,,sold,31302,Georgia,GA,Bloomingdale,Effingham,183 Ridge Dr,32.173302,-81.398312,
5744855796,,,,,,,,,,,,,2022-10-27,125000,,,,23958,,0,,,,,,single_family,,,sold,31302,Georgia,GA,Bloomingdale,Effingham,101 Edgewater Dr,32.120035,-81.389541,
5744930328,,,,,,,,,,,,,2022-10-27,125000,,,,30928,,0,,,,,,single_family,,,sold,31302,Georgia,GA,Bloomingdale,Effingham,103 Edgewater Dr,32.120038,-81.389988,
6141805248,,,,,,,,,,,,,2022-10-27,250000,,,,449975,,0,,,,,,land,,,sold,31302,Georgia,GA,Bloomingdale,Effingham,198 River Oak Dr,32.115303,-81.390041,
