property_id,is_new_construction,is_for_rent,is_subdivision,is_contingent,is_price_reduced,is_pending,is_foreclosure,is_plan,is_coming_soon,is_new_listing,year_built,baths_3qtr,sold_date,sold_price,baths_full,name,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,list_date,list_price,status,postal_code,state,state_code,city,county,address_line,latitude,longitude,tags
6547618340,,,,,,,,,,False,2003,,2022-10-17,940000,3,,1,217800,3590,4,,,,2,4,single_family,2022-07-09T04:54:53Z,950000,sold,30205,Georgia,GA,Brooks,Fayette,251 Bankstown Rd,33.295961,-84.485859,"['central_air', 'central_heat', 'community_outdoor_space', 'dishwasher', 'energy_efficient', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'rv_or_boat_parking', 'spa_or_hot_tub', 'washer_dryer', 'swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'modern_kitchen', 'large_kitchen', 'high_ceiling', 'front_porch', 'groundscare']"
6247202017,,,,,False,,,,,False,1991,,2022-10-07,642500,3,,,207781,3472,3,,,2,1,5,single_family,2022-06-03T17:29:38Z,725000,sold,30205,Georgia,GA,Brooks,Fayette,456 W McIntosh Rd,33.285981,-84.43108,"['central_air', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'family_room', 'fireplace', 'forced_air', 'lake_view', 'laundry_room', 'view', 'water_view', 'basement', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'waterfront', 'updated_kitchen', 'big_lot', 'farm', 'ranch', 'lake']"
6398035996,True,,,,,,,,,False,2022,,2022-09-27,334900,2,,1,43560,1961,3,,,,2,4,single_family,2022-05-14T04:46:59Z,329900,sold,30205,Georgia,GA,Brooks,Spalding,115 Avalee Rd,33.233264,-84.492171,"['community_outdoor_space', 'community_security_features', 'dishwasher', 'family_room', 'fireplace', 'laundry_room', 'new_construction', 'two_or_more_stories', 'garage_1_or_more', 'granite_kitchen', 'private_backyard', 'no_hoa', 'big_lot']"
9290612445,,,,,False,,,,,False,2020,,2022-09-26,420000,2,,1,147233,2796,3,,,2,2,4,single_family,2022-07-31T03:53:03Z,430000,sold,30205,Georgia,GA,Brooks,Spalding,108 Robin Rd,33.230837,-84.466015,"['central_air', 'central_heat', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'modern_kitchen', 'large_kitchen', 'open_kitchen', 'coffer_ceiling', 'master_bedroom', 'front_porch', 'big_lot', 'ensuite']"
9588484715,,,,,,,,,,False,,,2022-09-23,70000,,,,261360,,0,,,,,,land,2022-08-08T15:03:18Z,78000,sold,30205,Georgia,GA,Brooks,Spalding,Tract 1 Pine Cedar Cir,33.238015,-84.49156,"['corner_lot', 'big_lot']"
6202855546,,,,,,,,,,,,,2022-09-22,770000,,,,13068,0,,,,,0,,single_family,,,sold,30205,Georgia,GA,Brooks,Fayette,124 Gable Rd,33.289039,-84.459281,
9332500397,,,,,,,,,,,1981,,2022-09-13,765000,,,,5601816,3732,3,,,,1,,single_family,,,sold,30205,Georgia,GA,Brooks,Fayette,516 Highway 85 Connector,33.318505,-84.47797,
5518689037,,,,,,,,,,False,1973,,2022-09-01,275000,3,,1,261360,2965,4,,,,1,4,single_family,2022-09-01T13:36:14Z,275000,sold,30205,Georgia,GA,Brooks,Fayette,223 Price Rd,33.290157,-84.468966,"['carport', 'central_air', 'central_heat', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'basement', 'single_story']"
5231495826,,,,,,,,,,False,1984,,2022-08-31,585000,2,,1,731372,2676,3,,,,3,4,single_family,2022-07-22T04:51:36Z,585000,sold,30205,Georgia,GA,Brooks,Spalding,890 Tri County Rd,33.253798,-84.474556,"['carport', 'central_air', 'central_heat', 'community_outdoor_space', 'community_security_features', 'den_or_office', 'dishwasher', 'fireplace', 'laundry_room', 'recreation_facilities', 'rv_or_boat_parking', 'spa_or_hot_tub', 'swimming_pool', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'beautiful_backyard', 'rv_parking', 'master_suite', 'wrap_around_porch', 'big_lot']"
5416089600,,,,,,,,,,False,2017,,2022-08-30,1150000,4,,1,426452,5476,5,,,3,2,4,single_family,2022-07-10T03:53:04Z,1200000,sold,30205,Georgia,GA,Brooks,Spalding,712 Hollonville Rd,33.235621,-84.491308,"['central_air', 'central_heat', 'community_boat_facilities', 'community_outdoor_space', 'den_or_office', 'dishwasher', 'family_room', 'fireplace', 'game_room', 'hardwood_floors', 'lake_view', 'laundry_room', 'recreation_facilities', 'rv_or_boat_parking', 'view', 'water_view', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'media_room', 'big_lot', 'hidden_room', 'efficient', 'ensuite', 'pond', 'views', 'shopping']"
