property_id,is_new_construction,is_for_rent,is_subdivision,is_contingent,is_price_reduced,is_pending,is_foreclosure,is_plan,is_coming_soon,is_new_listing,year_built,baths_3qtr,sold_date,sold_price,baths_full,name,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,list_date,list_price,status,postal_code,state,state_code,city,county,address_line,latitude,longitude,tags
9458343037,True,,,,,,,,,False,2022,,2022-11-28,679483,4,,1,10803,3703,5,,,2,2,5,single_family,2022-01-15T20:05:23Z,679483,sold,30518,Georgia,GA,Buford,Hall,5348 Summer Oak Ln,34.154321,-83.950008,"['central_air', 'central_heat', 'community_outdoor_space', 'den_or_office', 'dishwasher', 'energy_efficient', 'family_room', 'fireplace', 'game_room', 'laundry_room', 'new_construction', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'gourmet_kitchen', 'smart_homes']"
6675320868,,,,,,,,,,False,1993,,2022-11-28,494000,3,,,20473,2595,3,,,2,1,4,single_family,2022-09-14T18:58:54Z,500000,sold,30519,Georgia,GA,Buford,Gwinnett,2304 Quail Creek Ter,34.090403,-83.976056,"['central_air', 'central_heat', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'den_or_office', 'dishwasher', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'basement', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'modern_kitchen', 'white_kitchen', 'vaulted_ceiling', 'master_bedroom', 'no_hoa', 'farm', 'ranch', 'groundscare', 'shopping']"
6799848057,,,,,False,,,,,False,2007,,2022-11-23,441700,3,,,5663,2960,3,,,2,2,5,single_family,2022-08-06T08:44:48Z,450000,sold,30519,Georgia,GA,Buford,Gwinnett,3947 Fellowship Dr,34.117853,-83.924546,"['central_air', 'city_view', 'community_outdoor_space', 'community_security_features', 'den_or_office', 'dishwasher', 'energy_efficient', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'view', 'community_swimming_pool', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'gourmet_kitchen', 'private_backyard', 'fenced_yard', 'views']"
5235805744,,,,,False,,,,,False,1998,,2022-11-21,365000,2,,,10019,1794,2,,,,1,3,single_family,2022-09-15T19:53:53Z,379000,sold,30518,Georgia,GA,Sugar Hill,Gwinnett,485 Ellesmere Way,34.109024,-84.075853,"['central_air', 'central_heat', 'community_tennis_court', 'dishwasher', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'washer_dryer', 'community_swimming_pool', 'single_story', 'garage_1_or_more', 'private_backyard', 'master_suite', 'ensuite', 'farm', 'ranch', 'tennis']"
5066093462,,,,,False,,,,,False,2003,,2022-11-21,410000,4,,,15246,3047,4,,,2,2,4,single_family,2022-09-16T15:58:35Z,425000,sold,30519,Georgia,GA,Buford,Gwinnett,3325 Stoneleigh Run Dr,34.114757,-83.951046,"['central_air', 'central_heat', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'dishwasher', 'family_room', 'fireplace', 'forced_air', 'game_room', 'laundry_room', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'beautiful_backyard', 'high_ceiling', 'big_bathroom', 'front_porch', 'farm', 'ranch', 'lake', 'shopping']"
6769399152,,,,,,,,,,False,2016,,2022-11-21,400000,3,,1,1742,2438,4,townhouse,,2,3,3,townhomes,2022-08-03T19:43:57Z,415000,sold,30519,Georgia,GA,Buford,Gwinnett,1146 Laurel Valley Ct,34.048642,-83.997241,"['central_air', 'community_outdoor_space', 'dishwasher', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'high_ceiling', 'golf_course', 'shopping']"
6593710380,,,,,False,,,,,False,1986,,2022-11-18,1705000,5,,,18295,9072,5,,,2,3,8,single_family,2022-04-29T16:18:15Z,1700000,sold,30518,Georgia,GA,Buford,Gwinnett,6415 Old Shadburn Ferry Rd,34.155982,-84.036897,"['central_air', 'central_heat', 'community_outdoor_space', 'den_or_office', 'dishwasher', 'energy_efficient', 'family_room', 'fireplace', 'hardwood_floors', 'lake_view', 'laundry_room', 'recreation_facilities', 'view', 'water_view', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'waterfront', 'granite_kitchen', 'updated_kitchen', 'gourmet_kitchen', 'coffer_ceiling', 'views', 'lake', 'groundscare']"
5031107773,,,,,,,,,,False,1993,,2022-11-18,450000,3,,,25700,2413,3,,,2,1,4,single_family,2022-09-10T00:18:16Z,450000,sold,30518,Georgia,GA,Buford,Gwinnett,5610 Dusty Ridge Trl,34.145079,-83.999325,"['central_air', 'central_heat', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'family_room', 'fireplace', 'laundry_room', 'basement', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard', 'open_floor_plan', 'floor_plan', 'no_hoa', 'farm', 'ranch', 'park', 'lake', 'medicalcare', 'shopping']"
9148583832,True,,,,False,,,,,False,2022,,2022-11-18,585000,4,,,,3403,4,,,2,2,5,single_family,2022-09-08T12:09:20Z,593560,sold,30519,Georgia,GA,Buford,Gwinnett,2444 Pinnae Pl Lot 211,,,"['community_security_features', 'den_or_office', 'dishwasher', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'new_construction', 'recreation_facilities', 'tennis_court', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'floor_plan']"
6101774382,,,,,True,,,,,False,2001,,2022-11-18,330000,2,,1,11326,2051,3,,,2,2,3,single_family,2022-09-30T14:40:36Z,349900,sold,30519,Georgia,GA,Buford,Gwinnett,2213 Beacon Crest Dr,34.052753,-83.946206,"['central_air', 'central_heat', 'den_or_office', 'dishwasher', 'fireplace', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'high_ceiling', 'master_suite', 'new_roof', 'shopping']"
