property_id,is_new_construction,is_for_rent,is_subdivision,is_contingent,is_price_reduced,is_pending,is_foreclosure,is_plan,is_coming_soon,is_new_listing,year_built,baths_3qtr,sold_date,sold_price,baths_full,name,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,list_date,list_price,status,postal_code,state,state_code,city,county,address_line,latitude,longitude,tags
9991071712,,,,,False,,,,,False,,,2022-11-28,135000,1,,,66211,648,1,,,1,1,2,single_family,2022-08-04T19:14:43Z,135000,sold,30710,Georgia,GA,Cohutta,Whitfield,117 Bank of Dalton Dr,34.92685,-84.947473,"['central_air', 'central_heat', 'community_outdoor_space', 'single_story', 'garage_1_or_more', 'big_lot']"
6237526353,True,,,,,,,,,False,2022,,2022-11-22,259000,2,,,83200,1386,2,,,,2,3,single_family,2022-04-05T12:14:28Z,259000,sold,30710,Georgia,GA,Cohutta,Whitfield,475 Wheeler Dam Rd,34.940332,-84.963345,"['carport', 'community_outdoor_space', 'dishwasher', 'laundry_room', 'new_construction', 'basement', 'two_or_more_stories', 'open_floor_plan', 'floor_plan', 'big_lot']"
5394968920,,,,,False,,,,,False,1979,,2022-11-14,312500,3,,,45738,1930,3,,,2,2,3,single_family,2022-09-13T19:15:13Z,329000,sold,30710,Georgia,GA,Cohutta,Whitfield,307 Nob North Dr,34.919253,-84.956479,"['central_air', 'central_heat', 'community_outdoor_space', 'dishwasher', 'fireplace', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard', 'screen_porch', 'front_porch', 'big_lot', 'playground', 'golf_course', 'tennis', 'groundscare']"
5615167749,,,,,,,,,,,1995,,2022-11-04,70000,,,,43560,924,,,,,0,,mobile,,,sold,30710,Georgia,GA,Cohutta,Whitfield,4498 Mount Pleasant Rd,34.979006,-84.83836,
5886844754,,,,,,,,,,False,,,2022-11-04,106000,,,,448232,,0,,,,,,land,2022-09-02T14:24:48Z,106000,sold,30710,Georgia,GA,Cohutta,Whitfield,NE Cohutta Beaverdale Rd,34.940911,-84.879139,['big_lot']
6620480074,,,,,False,,,,,False,1988,,2022-10-28,244000,2,,,18731,1692,2,,,,2,4,single_family,2022-07-05T21:14:28Z,240000,sold,30710,Georgia,GA,Cohutta,Whitfield,4886 Cleveland Hwy,34.946054,-84.941109,"['carport', 'central_air', 'central_heat', 'community_outdoor_space', 'dishwasher', 'hardwood_floors', 'laundry_room', 'basement', 'two_or_more_stories', 'big_lot']"
6678205018,,,,,False,,,,,False,1984,,2022-10-25,206000,2,,,32234,1232,2,,,,1,3,single_family,2022-08-01T15:50:42Z,204900,sold,30710,Georgia,GA,Cohutta,Whitfield,4009 Oster Dr,34.898815,-84.951532,"['carport', 'central_air', 'community_outdoor_space', 'dishwasher', 'laundry_room', 'single_story']"
5523061227,,,,,,,,,,,,,2022-10-19,222240,,,,223463,0,,,,,0,,single_family,,,sold,30710,Georgia,GA,Cohutta,Whitfield,893 Little Prospect Rd,34.928974,-84.901803,
6605260160,,,,,False,,,,,False,1974,,2022-10-14,163000,2,,,20038,1174,2,,,,1,3,single_family,2022-08-20T21:11:29Z,179500,sold,30710,Georgia,GA,Cohutta,Whitfield,4040 W Parliament Dr,34.909371,-84.978161,"['carport', 'central_air', 'central_heat', 'community_outdoor_space', 'dishwasher', 'laundry_room', 'single_story', 'open_floor_plan', 'floor_plan']"
6667435161,,,,,,,,,,False,1987,,2022-10-13,417000,4,,,32670,3206,4,,,6,3,5,single_family,2022-09-18T04:03:42Z,409900,sold,30710,Georgia,GA,Cohutta,Whitfield,4101 Dog Legg Dr,34.902454,-84.951766,"['central_air', 'central_heat', 'corner_lot', 'den_or_office', 'family_room', 'laundry_room', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'updated_kitchen', 'gourmet_kitchen', 'private_backyard', 'no_hoa', 'front_porch', 'views']"
9054434954,,,,,False,,,,,False,1988,,2022-10-11,535000,2,,,1040648,2281,2,,,2,1,3,single_family,2022-06-29T14:34:43Z,559900,sold,30710,Georgia,GA,Cohutta,Whitfield,1919 E Emerson Rd,34.977087,-84.866189,"['central_air', 'central_heat', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'fireplace', 'hardwood_floors', 'lake_view', 'laundry_room', 'view', 'water_view', 'basement', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'big_yard', 'fenced_yard', 'well_water', 'big_lot', 'farm', 'ranch', 'pond']"
9305674986,,,,,,,,,,False,1950,,2022-10-07,72900,2,,,179467,,2,,,,1,3,single_family,2022-04-30T19:54:25Z,79900,sold,30710,Georgia,GA,Cohutta,Whitfield,198 Trimble Way,,,"['fireplace', 'laundry_room', 'single_story', 'big_lot', 'fixer_upper']"
5322822056,,,,,,,,,,,1994,,2022-10-05,689000,2,,1,388990,3371,3,,,,2,,single_family,,,sold,30710,Georgia,GA,Cohutta,Whitfield,4416 Wedgewood Dr,34.917045,-84.966502,
5789295938,,,,,,,,,,False,1997,,2022-10-04,118000,2,,,20909,1568,2,,,,1,3,single_family,2022-08-20T21:44:50Z,125000,sold,30710,Georgia,GA,Cohutta,Whitfield,1109 Dressage Dr,34.948699,-84.875876,"['central_heat', 'community_outdoor_space', 'family_room', 'fireplace', 'laundry_room', 'single_story', 'modern_kitchen', 'large_kitchen', 'floor_plan', 'outbuilding']"
6010277567,,,,,,,,,,False,1976,,2022-09-23,295000,3,,,64469,2139,3,,,2,1,3,single_family,2022-07-26T21:14:27Z,294900,sold,30710,Georgia,GA,Cohutta,Whitfield,4107 Dinner Bell Ln,34.909293,-84.96593,"['community_outdoor_space', 'den_or_office', 'dishwasher', 'fireplace', 'hardwood_floors', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'community_swimming_pool', 'wooded_land', 'front_porch', 'large_porch', 'tennis_court', 'big_lot', 'clubhouse', 'golf_course', 'tennis', 'lake']"
6588729490,,,,,,,,,,,1969,,2022-09-19,120000,6,,1,317552,1160,4,,,,1,,single_family,,,sold,30710,Georgia,GA,Cohutta,Whitfield,1326 Cohutta Beaverdale Rd,34.941381,-84.864872,
6590154340,,,,,,,,,,False,2016,,2022-09-12,299900,2,,,44867,1662,2,,,2,2,3,single_family,2022-11-25T05:45:01Z,294900,sold,30710,Georgia,GA,Cohutta,Whitfield,1040 Bradford Pl,34.957741,-84.929416,"['community_outdoor_space', 'dishwasher', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'modern_kitchen', 'large_kitchen', 'high_ceiling', 'master_bedroom', 'open_floor_plan', 'floor_plan', 'front_porch', 'big_lot']"
