property_id,is_new_construction,is_for_rent,is_subdivision,is_contingent,is_price_reduced,is_pending,is_foreclosure,is_plan,is_coming_soon,is_new_listing,year_built,baths_3qtr,sold_date,sold_price,baths_full,name,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,list_date,list_price,status,postal_code,state,state_code,city,county,address_line,latitude,longitude,tags
5616286981,,,,,,,,,,False,2000,,2022-10-31,880000,4,,1,22651,4060,5,,,2,2,4,single_family,2022-09-28T13:19:29Z,899900,sold,31406,Georgia,GA,Savannah,Chatham,53 Wild Thistle Ln,32.002121,-81.025996,"['central_air', 'central_heat', 'community_boat_facilities', 'community_park', 'community_security_features', 'community_tennis_court', 'dishwasher', 'fireplace', 'laundry_room', 'recreation_facilities', 'rv_or_boat_parking', 'tennis_court', 'community_swimming_pool', 'swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'gourmet_kitchen', 'high_ceiling', 'open_floor_plan', 'floor_plan', 'low_hoa', 'media_room', 'new_roof', 'playground', 'tennis', 'hoa']"
6168115954,,,,,,,,,,False,1979,,2022-10-11,499900,2,,,23087,2359,2,,,2,1,3,single_family,2022-08-23T05:32:32Z,489900,sold,31406,Georgia,GA,Savannah,Chatham,9 Marsh Point Dr,32.006913,-81.035377,"['central_air', 'central_heat', 'community_boat_facilities', 'community_park', 'community_security_features', 'community_tennis_court', 'dishwasher', 'fireplace', 'laundry_room', 'recreation_facilities', 'tennis_court', 'washer_dryer', 'community_swimming_pool', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'private_backyard', 'fenced_yard', 'screen_porch', 'large_porch']"
6348893041,,,,,,,,,,False,1986,,2022-09-26,750000,2,,1,31799,3386,3,,,3,2,4,single_family,2022-08-12T05:32:55Z,750000,sold,31406,Georgia,GA,Savannah,Chatham,20 Mulberry Bluff Dr,32.000974,-81.032886,"['central_air', 'central_heat', 'community_boat_facilities', 'community_park', 'community_security_features', 'community_tennis_court', 'corner_lot', 'dishwasher', 'family_room', 'fireplace', 'laundry_room', 'recreation_facilities', 'rv_or_boat_parking', 'tennis_court', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'big_yard', 'fenced_yard', 'efficient', 'playground', 'tennis', 'groundscare']"
6278125016,,,,,,,,,,False,1977,,2022-08-26,925000,2,,1,64033,3491,3,,,2,1,4,single_family,2022-06-10T13:10:41Z,895000,sold,31406,Georgia,GA,Savannah,Chatham,509 Herb River Dr,32.009688,-81.038997,"['central_air', 'central_heat', 'community_boat_facilities', 'community_security_features', 'laundry_room', 'recreation_facilities', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'tennis_court', 'big_lot', 'tennis', 'views', 'shopping']"
6203891258,,,,,,,,,,False,1979,,2022-08-12,675000,2,,1,20473,2551,3,,,2,1,4,single_family,2022-07-12T14:07:34Z,675000,sold,31406,Georgia,GA,Savannah,Chatham,12 Marsh Point Dr,32.007501,-81.035423,"['central_air', 'central_heat', 'community_boat_facilities', 'community_park', 'community_tennis_court', 'lake_view', 'laundry_room', 'recreation_facilities', 'tennis_court', 'view', 'water_view', 'community_swimming_pool', 'basement', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'waterfront', 'granite_kitchen', 'updated_kitchen', 'tennis', 'views']"
6191109040,,,,,,,,,,,,,2022-06-23,310000,,,,43124,0,,,,,0,,single_family,,,sold,31406,Georgia,GA,Savannah,Chatham,8 Liberty Creek Dr,32.011036,-81.030201,
9344982000,,,,,,,,,,False,,,2022-06-17,310000,,,,40946,,,,,,,,land,2021-06-17T05:32:30Z,315000,sold,31406,Georgia,GA,Savannah,Chatham,8 Liberty Creek Dr Lot 7,32.011035,-81.030201,"['community_boat_facilities', 'community_park', 'community_security_features', 'recreation_facilities', 'community_tennis_court', 'cul_de_sac', 'lake_view', 'river_view', 'tennis_court', 'view', 'water_view', 'community_swimming_pool', 'waterfront', 'basketball_court', 'big_lot', 'playground', 'tennis', 'basketball', 'views']"
6198860356,,,,,,,,,,False,1995,,2022-06-16,680000,3,,1,30928,3035,4,,,2,2,4,single_family,2022-05-12T20:04:38Z,675000,sold,31406,Georgia,GA,Savannah,Chatham,3 Liberty Creek Dr,32.010332,-81.029911,"['central_air', 'central_heat', 'community_boat_facilities', 'community_park', 'community_security_features', 'community_tennis_court', 'cul_de_sac', 'dishwasher', 'fireplace', 'laundry_room', 'recreation_facilities', 'tennis_court', 'washer_dryer', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard', 'high_ceiling', 'low_hoa', 'screen_porch', 'large_porch', 'ensuite', 'hoa']"
6209965607,,,,,,,,,,False,1999,,2022-06-03,700000,3,,1,23958,3095,4,,,,2,4,single_family,2022-05-06T19:19:24Z,650000,sold,31406,Georgia,GA,Savannah,Chatham,1 Wild Thistle Ln,32.002028,-81.031066,"['central_air', 'central_heat', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'fenced_yard', 'corner_lot', 'master_suite', 'big_lot', 'ensuite', 'groundscare']"
6167147039,,,,,,,,,,False,1978,,2022-06-02,825000,3,,1,25700,4504,4,,,3,2,4,single_family,2022-06-01T16:22:55Z,825000,sold,31406,Georgia,GA,Savannah,Chatham,813 Meriweather Dr,32.006584,-81.033199,"['central_air', 'central_heat', 'community_boat_facilities', 'dishwasher', 'fireplace', 'lake_view', 'laundry_room', 'recreation_facilities', 'view', 'water_view', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'waterfront', 'fenced_yard']"
