property_id,is_new_construction,is_for_rent,is_subdivision,is_contingent,is_price_reduced,is_pending,is_foreclosure,is_plan,is_coming_soon,is_new_listing,year_built,baths_3qtr,sold_date,sold_price,baths_full,name,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,list_date,list_price,status,postal_code,state,state_code,city,county,address_line,latitude,longitude,tags
9246237248,,,,,False,,,,,False,,,2022-11-18,350000,,,,4356000,,0,,,,,,land,2022-04-19T03:53:04Z,325000,sold,31749,Georgia,GA,Enigma,Berrien,1793 Fire Tower Rd,31.433726,-83.317373,"['big_lot', 'pond']"
9479338034,,,,,,,,,,False,1992,,2022-11-11,118000,2,,,180338,1344,2,,,2,1,3,mobile,2022-09-29T15:41:23Z,124900,sold,31749,Georgia,GA,Enigma,Berrien,2922 Turner Church Rd,31.453548,-83.338268,"['carport', 'central_air', 'central_heat', 'fireplace', 'hardwood_floors', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'floor_plan', 'fruit_trees', 'large_porch', 'pond']"
5279454891,,,,,,,,,,,2012,,2022-10-25,270000,2,,,87120,2150,2,,,,1,,single_family,,,sold,31749,Georgia,GA,Enigma,Berrien,58 Gibbs Ln,31.464078,-83.363469,
6966669491,,,,,,,,,,,1935,,2022-09-07,47700,1,,,24829,1344,1,,,,1,,single_family,,,sold,31749,Georgia,GA,Enigma,Berrien,196 Main St,31.40391,-83.329468,
5006109203,,,,,,,,,,,1996,,2022-09-07,125000,2,,,53143,1440,2,,,,1,3,mobile,,,sold,31749,Georgia,GA,Enigma,Berrien,679 Brookfield Turner Rd,31.458734,-83.36419,
5006668192,,,,,,,,,,,2005,,2022-07-20,46500,1,,,87120,1344,1,,,,1,3,mobile,,,sold,31749,Georgia,GA,Enigma,Berrien,3675 Sapps Lake Rd,31.376404,-83.363296,
9644585675,,,,,,,,,,,1985,,2022-06-23,29000,1,,,207346,924,1,,,,1,2,mobile,,,sold,31749,Georgia,GA,Enigma,Berrien,273 Melody Ln,31.406053,-83.342181,
6708997478,,,,,,,,,,,1984,,2022-06-17,200000,2,,,33541,1440,2,,,,0,3,single_family,,,sold,31749,Georgia,GA,Enigma,Tift,15 McGee Rd,31.440247,-83.385333,
6376011854,,,,,,,,,,,2000,,2022-06-15,205000,2,,,61420,1828,2,,,,0,,single_family,,,sold,31749,Georgia,GA,Enigma,Tift,3148 Ferry Lake Rd,31.475586,-83.343025,
6833315838,,,,,,,,,,,1996,,2022-06-13,285000,3,,,98446,3370,3,,,,1,,single_family,,,sold,31749,Georgia,GA,Enigma,Berrien,13283 Nashville Enigma Rd,31.38141,-83.322387,
