property_id,is_new_construction,is_for_rent,is_subdivision,is_contingent,is_price_reduced,is_pending,is_foreclosure,is_plan,is_coming_soon,is_new_listing,year_built,baths_3qtr,sold_date,sold_price,baths_full,name,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,list_date,list_price,status,postal_code,state,state_code,city,county,address_line,latitude,longitude,tags
9321879346,True,,,,,,,,,False,2022,,2022-11-22,341505,2,,,72745,2100,2,,,,2,3,single_family,2022-02-07T04:01:44Z,349900,sold,31061,Georgia,GA,Milledgeville,Baldwin,485 Parham Rd NW,,,"['central_air', 'central_heat', 'den_or_office', 'dishwasher', 'fireplace', 'laundry_room', 'new_construction', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'lake', 'groundscare']"
9265606481,,,,,,,,,,False,,,2022-11-16,105000,,,,1372140,,0,,,,,,land,2022-07-29T04:51:27Z,160000,sold,31061,Georgia,GA,Milledgeville,Baldwin,375/385 Browns Crossing Rd,,,"['rental_property', 'big_lot']"
6611090187,,,,,,,,,,False,1957,,2022-11-10,119000,1,,,31799,1295,1,,,,1,2,single_family,2022-08-15T20:43:26Z,119000,sold,31061,Georgia,GA,Milledgeville,Baldwin,114 Effingham Rd SW,33.06696,-83.228999,"['carport', 'central_air', 'central_heat', 'fireplace', 'single_story', 'garage_1_or_more', 'corner_lot', 'outbuilding', 'big_lot', 'farm', 'ranch']"
6598643362,,,,,,,,,,,1995,,2022-10-12,15000,3,,,15246,2659,2,,,,1,7,multi_family,,,sold,31061,Georgia,GA,Milledgeville,Baldwin,103 Thomas St,33.054919,-83.229948,
6834218015,,,,,,,,,,False,1963,,2022-10-11,100000,1,,,17860,1248,1,,,,1,3,single_family,2022-08-24T17:19:37Z,112000,sold,31061,Georgia,GA,Milledgeville,Baldwin,229 Harrisburg Rd SW,33.046698,-83.244023,"['carport', 'community_outdoor_space', 'family_room', 'fireplace', 'single_story', 'modern_kitchen', 'open_kitchen', 'private_backyard', 'farm', 'ranch']"
6590780248,,,,,,,,,,,,,2022-09-30,40000,,,,33106,,0,,,,,,single_family,,,sold,31061,Georgia,GA,Milledgeville,Baldwin,160 W Thomas St,33.050186,-83.228762,
6590929312,,,,,,,,,,,1935,,2022-09-30,40000,1,,,17860,1134,1,,,,1,3,single_family,,,sold,31061,Georgia,GA,Milledgeville,Baldwin,162 Thomas St SE,33.050315,-83.229168,
5421465035,,,,,,,,,,False,1959,,2022-09-23,116000,1,,,18731,1160,1,,,,1,2,single_family,2022-08-11T18:43:02Z,120000,sold,31061,Georgia,GA,Milledgeville,Baldwin,2375 Irwinton Rd,33.045967,-83.23277,"['carport', 'central_air', 'central_heat', 'den_or_office', 'dishwasher', 'family_room', 'laundry_room', 'washer_dryer', 'single_story', 'private_backyard', 'outbuilding', 'farm', 'ranch', 'investment_opportunity']"
6591749162,,,,,,,,,,False,1945,,2022-09-19,30000,1,,,14375,672,1,,,,1,2,single_family,2022-08-07T22:33:27Z,35000,sold,31061,Georgia,GA,Milledgeville,Baldwin,135 Bloodworth St,33.045933,-83.225828,"['community_outdoor_space', 'single_story', 'updated_kitchen', 'investment_opportunity']"
6591898226,,,,,,,,,,False,1950,,2022-09-19,42500,1,,,90169,800,1,,,,1,2,single_family,2022-08-07T05:04:56Z,42500,sold,31061,Georgia,GA,Milledgeville,Baldwin,150 Bloodworth St,33.045253,-83.225337,"['carport', 'single_story', 'big_yard', 'investment_opportunity']"
