property_id,is_new_construction,is_for_rent,is_subdivision,is_contingent,is_price_reduced,is_pending,is_foreclosure,is_plan,is_coming_soon,is_new_listing,year_built,baths_3qtr,sold_date,sold_price,baths_full,name,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,list_date,list_price,status,postal_code,state,state_code,city,county,address_line,latitude,longitude,tags
5545783303,,,,,True,,,,,False,2005,,2022-11-23,165000,2,,1,,1592,3,townhouse,,,2,3,townhomes,2022-10-13T21:21:29Z,199000,sold,30236,Georgia,GA,Jonesboro,Clayton,8352 Carlington Ln,33.528337,-84.340826,"['central_air', 'dishwasher', 'family_room', 'laundry_room', 'recreation_facilities', 'two_or_more_stories', 'open_floor_plan', 'floor_plan']"
5562155494,,,,,,,,,,False,1973,,2022-11-23,85500,1,,1,12632,1114,2,,,,1,3,single_family,2022-10-01T02:39:22Z,160000,sold,30238,Georgia,GA,Jonesboro,Clayton,10142 Port Royal Ct,33.478437,-84.351675,"['central_air', 'forced_air', 'game_room', 'laundry_room', 'single_story', 'rental_property', 'fixer_upper']"
5711888492,,,,,,,,,,False,1985,,2022-11-22,235000,2,,,23623,1521,2,,,2,1,3,single_family,2022-10-14T20:55:26Z,235000,sold,30236,Georgia,GA,Jonesboro,Clayton,9829 Dixon Industrial Blvd,33.486933,-84.332045,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'dishwasher', 'family_room', 'fireplace', 'laundry_room', 'view', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'updated_kitchen', 'private_backyard']"
6806170152,True,,,,,,,,,False,2015,,2022-11-22,324900,2,,1,,1859,3,,,,2,3,single_family,2022-09-30T01:11:25Z,324900,sold,30236,Georgia,GA,Jonesboro,Clayton,8619 Spivey Village Trl,33.519667,-84.326589,"['central_air', 'central_heat', 'city_view', 'community_clubhouse', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'energy_efficient', 'family_room', 'laundry_room', 'new_construction', 'recreation_facilities', 'view', 'community_swimming_pool', 'two_or_more_stories', 'efficient', 'gated_community', 'security']"
6505757833,,,,,,,,,,False,1984,,2022-11-22,104000,2,,,,1414,2,condo,,,2,3,condos,2022-10-07T17:06:19Z,119900,sold,30238,Georgia,GA,Jonesboro,Clayton,9453 Cypress Ln,33.498497,-84.402899,"['community_outdoor_space', 'community_security_features', 'den_or_office', 'fireplace', 'laundry_room', 'two_or_more_stories']"
6478899605,,,,,,,,,,False,1979,,2022-11-18,213400,2,,,10890,1176,2,,,,1,3,single_family,2022-10-07T22:00:24Z,210000,sold,30238,Georgia,GA,Jonesboro,Clayton,83 Skylark Ln,33.534701,-84.388021,"['central_air', 'central_heat', 'dishwasher', 'fireplace', 'laundry_room', 'washer_dryer', 'single_story', 'big_yard', 'farm', 'ranch']"
6849450432,,,,,,,True,,,False,2004,,2022-11-18,296000,3,,,1137,2037,3,,,2,2,4,single_family,2022-09-07T17:51:54Z,315000,sold,30236,Georgia,GA,Jonesboro,Clayton,9490 Deer Crossing Ln,33.496545,-84.339238,"['central_air', 'central_heat', 'community_outdoor_space', 'dishwasher', 'fireplace', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'big_yard', 'high_ceiling', 'vaulted_ceiling', 'views']"
6441325202,,,,,,,,,,False,1959,,2022-11-18,200000,3,,,30056,1806,3,,,,2,3,single_family,2022-10-10T17:17:05Z,189900,sold,30236,Georgia,GA,Jonesboro,Clayton,155 Spring St,33.525308,-84.360607,"['community_outdoor_space', 'community_security_features', 'den_or_office', 'fireplace', 'laundry_room', 'basement', 'two_or_more_stories']"
5690789121,,,,,False,,,,,False,1972,,2022-11-18,210000,1,,,14026,1056,1,,,,1,3,single_family,2022-08-27T02:35:27Z,210000,sold,30236,Georgia,GA,Jonesboro,Clayton,103 Sedgefield Dr,33.545134,-84.387401,"['central_air', 'central_heat', 'dishwasher', 'family_room', 'laundry_room', 'recreation_facilities', 'single_story', 'modern_kitchen', 'open_kitchen', 'fenced_yard', 'open_floor_plan', 'floor_plan', 'no_hoa', 'big_lot', 'farm', 'ranch', 'park', 'golf_course', 'trails', 'lake', 'shopping']"
6206302386,,,,,,,,,,False,1978,,2022-11-18,155000,2,,,10890,1456,2,,,,1,3,single_family,2022-10-31T19:49:24Z,149500,sold,30238,Georgia,GA,Jonesboro,Clayton,53 Burnham Cir,33.515187,-84.393015,"['central_air', 'central_heat', 'dishwasher', 'family_room', 'fireplace', 'laundry_room', 'single_story', 'garage_1_or_more', 'farm', 'ranch', 'fixer_upper']"
