property_id,is_new_construction,is_for_rent,is_subdivision,is_contingent,is_price_reduced,is_pending,is_foreclosure,is_plan,is_coming_soon,is_new_listing,year_built,baths_3qtr,sold_date,sold_price,baths_full,name,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,list_date,list_price,status,postal_code,state,state_code,city,county,address_line,latitude,longitude,tags
6443794200,,,,,,,,,,False,1950,,2022-11-11,57500,1,,,25265,1348,1,,,,,3,single_family,2022-10-25T11:38:33Z,79900,sold,30434,Georgia,GA,Louisville,Jefferson,1114 Walnut St,33.008909,-82.399464,"['community_outdoor_space', 'dining_room', 'dishwasher', 'fireplace', 'garage_1_or_more', 'rental_property', 'big_lot']"
6813482438,,,,,,,,,,False,2019,,2022-11-04,197000,2,,,540144,1440,2,,,,,3,single_family,2022-09-22T14:47:42Z,200000,sold,30434,Georgia,GA,Louisville,Burke,1838 Bailey Rd,33.00109,-82.249524,"['central_air', 'community_outdoor_space', 'dining_room', 'family_room', 'open_floor_plan', 'floor_plan', 'big_lot']"
9683566569,,,,,,,,,,False,,,2022-10-31,261625,,,,3256110,,0,,,,,,land,2022-10-10T17:22:34Z,261625,sold,30434,Georgia,GA,Louisville,Jefferson,3398 Gough Rd,33.055988,-82.312805,"['senior_community', 'single_story', 'big_lot', 'pond']"
6447185401,,,,,False,,,,,False,1975,,2022-10-21,213000,2,,,24394,2049,2,,,,,3,single_family,2022-06-20T15:24:21Z,209900,sold,30434,Georgia,GA,Louisville,Jefferson,910 Washington Dr,32.99921,-82.395336,"['central_air', 'community_outdoor_space', 'dining_room', 'dishwasher', 'family_room', 'hardwood_floors', 'washer_dryer', 'fenced_yard']"
6445582965,,,,,,,,,,False,1955,,2022-10-07,159000,2,,1,30056,2260,3,,,,,3,single_family,2022-06-04T07:17:55Z,159000,sold,30434,Georgia,GA,Louisville,Jefferson,1001 Mimosa Dr,33.008992,-82.407398,"['central_air', 'community_outdoor_space', 'community_security_features', 'den_or_office', 'dining_room', 'fireplace', 'forced_air', 'recreation_facilities', 'fenced_yard', 'master_bedroom', 'big_lot', 'farm', 'ranch', 'medicalcare']"
9734196309,,,,,,,,,,False,,,2022-10-04,115583,,,,1919254,,0,,,,,,land,2022-08-08T14:07:14Z,132180,sold,30434,Georgia,GA,Louisville,Jefferson,Middleground Rd,,,"['single_story', 'big_lot', 'farm']"
5192565723,,,,,,,,,,False,1998,,2022-09-30,515000,2,,1,499198,4056,3,,,,,3,single_family,2022-07-29T17:12:00Z,549000,sold,30434,Georgia,GA,Louisville,Jefferson,2226 17,32.988368,-82.375763,"['carport', 'central_air', 'community_outdoor_space', 'dining_room', 'dishwasher', 'fireplace', 'hardwood_floors', 'lake_view', 'view', 'water_view', 'swimming_pool', 'granite_kitchen', 'master_suite', 'big_lot', 'ensuite', 'pond', 'views', 'groundscare', 'shopping']"
6425794751,,,,,,,,,,False,1998,,2022-09-22,325000,2,,1,176854,1890,3,,,,2,3,single_family,2022-07-16T04:44:46Z,349900,sold,30434,Georgia,GA,Louisville,Jefferson,1060 Taylor Ln,33.04101,-82.371273,"['carport', 'central_air', 'central_heat', 'den_or_office', 'dishwasher', 'fireplace', 'laundry_room', 'two_or_more_stories', 'swimming_pool', 'beautiful_backyard', 'master_bedroom', 'master_suite', 'front_porch', 'big_lot']"
6786518128,,,,,,,,,,,,,2022-09-22,325000,,,,43560,0,,,,,0,,single_family,,,sold,30434,Georgia,GA,Louisville,Jefferson,1060 Taylor Ln,33.040699,-82.370729,
5680450770,,,,,,,,,,False,,,2022-09-20,13500,,,,43560,,0,,,,,,land,2022-08-25T18:38:45Z,14900,sold,30434,Georgia,GA,Louisville,Jefferson,Cason Creek Rd,33.083912,-82.410951,['corner_lot']
