property_id,is_new_construction,is_for_rent,is_subdivision,is_contingent,is_price_reduced,is_pending,is_foreclosure,is_plan,is_coming_soon,is_new_listing,year_built,baths_3qtr,sold_date,sold_price,baths_full,name,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,list_date,list_price,status,postal_code,state,state_code,city,county,address_line,latitude,longitude,tags
5513540864,,,,,,,,,,False,1978,,2022-11-10,109000,2,,,318424,1560,2,,,,1,3,mobile,2022-10-07T17:50:45Z,120000,sold,30182,Georgia,GA,Waco,Carroll,151 N Prospect Ave,33.638925,-85.18594,"['central_heat', 'den_or_office', 'laundry_room', 'river_view', 'view', 'water_view', 'single_story', 'big_lot']"
9899424036,True,,,,,,,,,False,2022,,2022-10-28,485000,3,,1,235224,2500,4,,,2,2,3,single_family,2022-08-12T19:00:26Z,485000,sold,30117,Georgia,GA,Carrollton,Carroll,423 Beaver Pond Rd,33.620737,-85.159799,"['central_air', 'community_outdoor_space', 'dishwasher', 'family_room', 'fireplace', 'forced_air', 'laundry_room', 'new_construction', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'modern_kitchen', 'large_kitchen', 'vaulted_ceiling', 'rental_property', 'big_lot']"
5226624473,,,,,,,,,,False,,,2022-10-14,19900,,,,44431,,0,,,,,,land,2022-08-17T15:19:40Z,19900,sold,30117,Georgia,GA,Carrollton,Carroll,990 Harrison Rd,33.615163,-85.180025,"['single_story', 'big_lot']"
6277435182,,,,,False,,,,,False,1986,,2022-10-11,240500,2,,,68825,1563,2,,,,1,3,single_family,2022-08-31T20:48:15Z,239900,sold,30117,Georgia,GA,Carrollton,Carroll,362 Katie Ln,33.64848,-85.153307,"['central_air', 'central_heat', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'family_room', 'fireplace', 'laundry_room', 'recreation_facilities', 'single_story', 'master_suite', 'big_lot', 'farm', 'ranch']"
6303506821,,,,,,,,,,False,2003,,2022-09-30,240000,2,,,24829,1480,2,,,1,2,3,single_family,2022-09-02T17:21:15Z,235000,sold,30117,Georgia,GA,Carrollton,Carroll,209 Eagle Watch Dr,33.651624,-85.160257,"['central_air', 'community_outdoor_space', 'dishwasher', 'energy_efficient', 'family_room', 'fireplace', 'forced_air', 'laundry_room', 'basement', 'two_or_more_stories', 'garage_1_or_more']"
6718485835,,,,,,,,,,False,1996,,2022-09-15,172500,2,,,49223,1680,2,,,,1,4,mobile,2022-08-17T18:14:32Z,174900,sold,30117,Georgia,GA,Carrollton,Carroll,980 Harrison Rd,33.614888,-85.179958,"['central_air', 'central_heat', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'laundry_room', 'recreation_facilities', 'single_story', 'updated_kitchen', 'modern_kitchen', 'open_kitchen', 'floor_plan', 'outbuilding']"
5347624023,,,,,,,,,,False,1956,,2022-09-13,157000,1,,,43560,996,1,,,,1,3,single_family,2022-08-08T23:15:30Z,150000,sold,30117,Georgia,GA,Carrollton,Carroll,3970 Mount Zion Rd,33.62389,-85.180012,"['community_outdoor_space', 'laundry_room', 'single_story', 'no_hoa']"
6542308203,,,,,False,,,,,False,2019,,2022-08-30,375000,2,,,33106,1944,2,,,2,1,4,single_family,2022-07-16T04:44:46Z,379000,sold,30117,Georgia,GA,Carrollton,Carroll,249 Randall Dr,33.639665,-85.16941,"['central_air', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'no_hoa', 'outbuilding', 'farm', 'ranch']"
5621024464,,,,,,,,,,False,1987,,2022-08-19,224900,2,,,31799,1556,2,,,,1,3,single_family,2022-07-18T21:01:28Z,224900,sold,30117,Georgia,GA,Carrollton,Carroll,127 Katie Ln,33.65087,-85.15535,"['carport', 'central_air', 'community_outdoor_space', 'dishwasher', 'family_room', 'forced_air', 'laundry_room', 'ocean_view', 'view', 'water_view', 'single_story', 'modern_kitchen', 'large_kitchen', 'big_yard', 'farm', 'ranch', 'groundscare']"
6027217826,,,,,,,,,,,,,2022-08-10,8000,,,,43560,0,,,,,0,,land,,,sold,30117,Georgia,GA,Carrollton,Carroll,3990 Mount Zion Rd,33.624435,-85.179987,
6664662441,,,,,False,,,,,False,1995,,2022-08-05,275000,2,,,49658,1348,2,,,3,2,3,single_family,2022-06-11T04:46:18Z,269000,sold,30117,Georgia,GA,Carrollton,Carroll,88 Tyler Ln,33.654173,-85.160679,"['central_air', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'fireplace', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'big_yard', 'big_lot', 'new_roof']"
6104229379,,,,,False,,,,,False,1987,,2022-08-05,255000,2,,,32670,1566,2,,,3,1,3,single_family,2022-05-19T04:37:05Z,267500,sold,30117,Georgia,GA,Carrollton,Carroll,51 Tyler Ln,33.654467,-85.159656,"['central_air', 'central_heat', 'community_security_features', 'dishwasher', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'master_bedroom', 'front_porch']"
5233334972,,,,,False,,,,,False,2019,,2022-07-28,385000,3,,,32234,2803,3,,,2,2,4,single_family,2022-05-07T04:39:52Z,394900,sold,30117,Georgia,GA,Carrollton,Carroll,241 Randall Dr,33.638754,-85.169392,"['central_air', 'central_heat', 'community_outdoor_space', 'community_security_features', 'den_or_office', 'dishwasher', 'family_room', 'fireplace', 'forced_air', 'game_room', 'laundry_room', 'ocean_view', 'view', 'water_view', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard', 'private_bathroom', 'floor_plan', 'no_hoa']"
6406890769,,,,,,,,,,False,1986,,2022-07-21,218000,2,,,47916,,2,,,,1,3,single_family,2022-06-23T04:35:07Z,210000,sold,30117,Georgia,GA,Carrollton,Carroll,72 Katie Ln,33.652794,-85.155951,"['carport', 'central_air', 'central_heat', 'community_outdoor_space', 'community_security_features', 'laundry_room', 'single_story', 'big_yard', 'farm', 'ranch', 'shopping']"
5825865200,,,,,,,,,,,2020,,2022-07-07,410000,2,,,40946,1944,2,,,,1,4,single_family,,,sold,30117,Georgia,GA,Carrollton,Carroll,269 Randall Dr,33.6408,-85.167969,
6536979173,,,,,False,,,,,False,2020,,2022-07-07,399900,3,,,33106,2735,3,,,2,2,4,single_family,2022-05-20T05:01:06Z,399900,sold,30117,Georgia,GA,Carrollton,Carroll,408 Micah Ct,33.639279,-85.171638,"['central_heat', 'community_outdoor_space', 'dishwasher', 'family_room', 'fireplace', 'forced_air', 'game_room', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'master_suite']"
5255314358,,,,,,,,,,False,2003,,2022-07-06,270000,3,,,43560,1915,3,,,,2,3,single_family,2022-06-11T04:46:18Z,265000,sold,30117,Georgia,GA,Carrollton,Carroll,236 Taylors Ln,33.636228,-85.194657,"['central_air', 'central_heat', 'den_or_office', 'dishwasher', 'fireplace', 'game_room', 'laundry_room', 'basement', 'two_or_more_stories', 'big_yard', 'fenced_yard']"
9308604086,,,,,,,,,,False,2020,,2022-06-21,410000,2,,1,37462,2655,3,,,,2,4,single_family,2022-05-05T04:36:38Z,410000,sold,30117,Georgia,GA,Carrollton,Carroll,314 Lucy Ln,33.640281,-85.171439,"['central_air', 'central_heat', 'corner_lot', 'dishwasher', 'fireplace', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'private_backyard', 'coffer_ceiling', 'open_floor_plan', 'floor_plan', 'no_hoa', 'big_lot']"
6692809600,,,,,,,,,,,2004,,2022-06-02,254000,2,,,25265,1386,2,,,,1,3,single_family,,,sold,30117,Georgia,GA,Carrollton,Carroll,206 Eagle Watch Dr,33.651048,-85.160931,
