property_id,is_new_construction,is_for_rent,is_subdivision,is_contingent,is_price_reduced,is_pending,is_foreclosure,is_plan,is_coming_soon,is_new_listing,year_built,baths_3qtr,sold_date,sold_price,baths_full,name,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,list_date,list_price,status,postal_code,state,state_code,city,county,address_line,latitude,longitude,tags
6013282380,,,,,,,,,,False,1973,,2022-11-18,225720,1,,,20473,1323,1,,,,1,3,single_family,2022-10-07T18:43:36Z,223900,sold,31321,Georgia,GA,Pembroke,Bryan,197 Madison St,32.139755,-81.61893,"['carport', 'central_air', 'central_heat', 'dishwasher', 'laundry_room', 'single_story', 'garage_1_or_more', 'no_hoa']"
9364080534,,,,,,,,,,False,2020,,2022-11-17,255000,2,,,8276,1550,2,,,2,1,3,single_family,2022-10-09T05:31:39Z,250000,sold,31321,Georgia,GA,Pembroke,Bryan,55 Kayton Ct,32.144661,-81.615162,"['central_air', 'central_heat', 'city_view', 'dishwasher', 'laundry_room', 'view', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard', 'high_ceiling', 'open_floor_plan', 'floor_plan', 'front_porch']"
5825924598,,,,,,,,,,,1940,,2022-11-07,135000,1,,,13068,840,1,,,,1,2,single_family,,,sold,31321,Georgia,GA,Pembroke,Bryan,294 S Main St,32.13147,-81.623269,
5351412766,,,,,,,,,,,1990,,2022-11-03,460000,1,,,532303,960,1,,,1,1,3,single_family,,,sold,31321,Georgia,GA,Pembroke,Bryan,7183 US Highway 280 E,32.152664,-81.514842,
9123228684,,,,,,,,,,,1900,,2022-11-01,95000,2,,,6098,1431,2,,,,1,3,single_family,,,sold,31321,Georgia,GA,Pembroke,Bryan,41 N College St,32.1364,-81.62195,
6841235659,,,,,,,,,,False,2019,,2022-10-28,315000,2,,,545807,2432,2,,,,1,4,mobile,2022-09-01T18:08:03Z,359900,sold,31321,Georgia,GA,Pembroke,Bryan,70 Anchor Ln,32.116377,-81.720763,"['central_air', 'central_heat', 'family_room', 'fireplace', 'laundry_room', 'single_story', 'big_lot']"
6686629843,True,,,,,,,,,False,2022,,2022-10-24,449900,3,,,230868,2550,3,,,,2,5,single_family,2022-08-04T04:35:26Z,449900,sold,31321,Georgia,GA,Pembroke,Bulloch,202 Peppercorn Trl Unit 6,32.229206,-81.750885,"['central_air', 'central_heat', 'community_outdoor_space', 'den_or_office', 'family_room', 'fireplace', 'laundry_room', 'new_construction', 'two_or_more_stories', 'garage_1_or_more', 'modern_kitchen', 'open_kitchen', 'cathedral_ceiling', 'master_bedroom', 'big_lot']"
9392407134,,,,,False,,,,,False,,,2022-10-21,80000,,,,426888,,,,,,,,land,2022-07-05T20:58:47Z,89900,sold,31321,Georgia,GA,Pembroke,Bryan,9.8 Steve Bulloch Rd,32.127188,-81.518829,['big_lot']
5365968954,,,,,,,,,,False,,,2022-10-21,44000,,,,121097,,0,,,,,,land,2022-07-07T03:53:04Z,49500,sold,31321,Georgia,GA,Pembroke,Bulloch,1970 Ash Branch Church Rd Parcel A,32.219741,-81.620704,"['big_lot', 'farm', 'ranch']"
9570077349,,,,,,,,,,False,,,2022-10-21,80000,,,,426888,,0,,,,,,land,2022-07-07T03:53:04Z,89900,sold,31321,Georgia,GA,Pembroke,Bryan,9.8 Ac Steve Bulloch Rd,,,['big_lot']
6355119051,,,,,,,,,,,2005,,2022-10-19,343000,2,,,361984,1472,2,,,,1,3,single_family,,,sold,31321,Georgia,GA,Pembroke,Bulloch,296 Mag Davis Rd,32.233911,-81.747753,
5766261824,,,,,,,,,,,1940,,2022-10-18,41000,1,,,10890,690,1,,,,1,2,single_family,,,sold,31321,Georgia,GA,Pembroke,Bryan,439 Williams Rd,32.154265,-81.62235,
5960737401,,,,,,,,,,,1940,,2022-10-18,61000,1,,,10019,840,1,,,,1,3,single_family,,,sold,31321,Georgia,GA,Pembroke,Bryan,419 Williams Rd,32.15413,-81.622085,
6743497671,,,,,,,,,,,2001,,2022-10-11,650000,5,,,1679238,1216,5,,,,1,7,mobile,,,sold,31321,Georgia,GA,Pembroke,Bulloch,2907 New Town Rd,32.225019,-81.575484,
5826110928,,,,,,,,,,False,1901,,2022-10-07,242000,2,,,16988,2347,2,,,,2,3,single_family,2022-08-24T20:19:27Z,239500,sold,31321,Georgia,GA,Pembroke,Bryan,900 Garrison St,32.126619,-81.623715,"['carport', 'central_air', 'central_heat', 'corner_lot', 'dishwasher', 'family_room', 'fireplace', 'laundry_room', 'washer_dryer', 'two_or_more_stories', 'garage_1_or_more', 'swimming_pool']"
6012797923,,,,,False,,,,,False,1950,,2022-10-05,299000,2,,,54014,2278,2,,,,2,3,single_family,2022-07-12T13:50:23Z,299000,sold,31321,Georgia,GA,Pembroke,Bryan,687 Camellia Dr,32.143801,-81.616064,"['carport', 'central_air', 'central_heat', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'modern_kitchen', 'large_kitchen', 'no_hoa', 'big_lot']"
6315168952,,,,,,,,,,,2008,,2022-10-04,265000,3,,,15246,1808,3,,,,1,4,single_family,,,sold,31321,Georgia,GA,Pembroke,Bryan,314 S Poplar St,32.130256,-81.630713,
5667656385,,,,,,,,,,,1998,,2022-10-04,200000,2,,,30056,2280,2,,,,0,4,mobile,,,sold,31321,Georgia,GA,Pembroke,Bryan,530 Mason Rd,32.156243,-81.633088,
5768795908,,,,,,,,,,False,1978,,2022-10-03,210000,1,,,19602,1296,1,,,,1,3,single_family,2022-09-02T20:03:47Z,199900,sold,31321,Georgia,GA,Pembroke,Bryan,60 McRae Dr,32.151239,-81.605362,"['central_air', 'central_heat', 'dishwasher', 'laundry_room', 'single_story', 'modern_kitchen', 'large_kitchen', 'big_yard', 'private_backyard', 'no_hoa', 'front_porch', 'farm', 'ranch']"
5856863524,,,,,,,,,,False,1978,,2022-10-03,300000,2,,,29185,2690,2,,,,1,3,single_family,2022-08-18T05:32:12Z,289900,sold,31321,Georgia,GA,Pembroke,Bryan,116 Miles Ln,32.148467,-81.613684,"['central_air', 'central_heat', 'city_view', 'dishwasher', 'fireplace', 'lake_view', 'laundry_room', 'recreation_facilities', 'rv_or_boat_parking', 'view', 'water_view', 'swimming_pool', 'single_story', 'garage_1_or_more', 'waterfront', 'modern_kitchen', 'large_kitchen', 'private_backyard', 'ensuite']"
5914122415,,,,,,,,,,False,2008,,2022-09-30,265000,2,,,15246,1808,2,,,2,1,4,single_family,2022-08-12T05:32:55Z,249900,sold,31321,Georgia,GA,Pembroke,Bryan,314 S Poplar St,32.130295,-81.631205,"['central_air', 'central_heat', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'open_floor_plan', 'floor_plan', 'master_suite']"
5770286791,,,,,,,,,,,1940,,2022-09-21,44000,1,,,21780,1376,1,,,,1,3,single_family,,,sold,31321,Georgia,GA,Pembroke,Bryan,2150 US Highway 280 W,32.138647,-81.659238,
9509817180,,,,,,,,,,,,,2022-09-20,11000,,,,,,,,,,,,,,,sold,31321,Georgia,GA,Pembroke,Bryan,1777 Henry Futch Rd,,,
6537752402,,,,,,,,,,False,1994,,2022-09-16,235000,2,,1,444748,1782,3,,,,1,3,mobile,2022-08-05T20:55:39Z,239900,sold,31321,Georgia,GA,Pembroke,Bulloch,1458 Lee Rd,32.251872,-81.64119,"['central_air', 'dishwasher', 'family_room', 'fireplace', 'lake_view', 'laundry_room', 'view', 'water_view', 'single_story', 'waterfront', 'modern_kitchen', 'open_kitchen', 'big_lot', 'pond']"
9090748882,,,,,False,,,,,False,,,2022-09-13,46000,,,,141570,,0,,,,,,land,2022-07-07T03:53:04Z,49000,sold,31321,Georgia,GA,Pembroke,Bryan,3.25 Steve Bulloch Rd,32.126741,-81.518219,['big_lot']
6974437314,,,,,,,,,,,2021,,2022-09-12,280000,2,,1,47045,0,3,,,,0,4,single_family,,,sold,31321,Georgia,GA,Pembroke,Bryan,207 Judith St,32.143692,-81.617721,
5826856247,,,,,,,,,,False,1960,,2022-09-12,259900,2,,,14549,1724,2,,,,1,3,single_family,2022-08-27T03:04:42Z,259900,sold,31321,Georgia,GA,Pembroke,Bryan,61 Anne St,32.139456,-81.619017,"['carport', 'central_air', 'central_heat', 'city_view', 'corner_lot', 'dishwasher', 'family_room', 'fireplace', 'laundry_room', 'view', 'single_story', 'garage_1_or_more', 'floor_plan', 'ensuite', 'new_roof']"
6619744507,,,,,,,,,,,2005,,2022-09-08,179000,2,,,219978,2572,2,,,,1,3,single_family,,,sold,31321,Georgia,GA,Pembroke,Bulloch,23205 GA Highway 46,32.237101,-81.599944,
6700164411,,,,,,,,,,,2010,,2022-09-02,60000,,,,43560,1728,,,,,1,,single_family,,,sold,31321,Georgia,GA,Pembroke,Bulloch,3044 Starling Rd,32.22544,-81.641113,
5098438558,,,,,,,,,,,2008,,2022-08-29,165000,2,,,14375,1224,2,,,,1,3,single_family,,,sold,31321,Georgia,GA,Pembroke,Bryan,109 Mikell St,32.138973,-81.627983,
5844975689,,,,,,,,,,,1979,,2022-08-29,90000,2,,1,120661,2066,2,,,,2,3,single_family,,,sold,31321,Georgia,GA,Pembroke,Bryan,3980 GA Highway 119 N,32.181857,-81.587476,
9957806057,,,,,False,,,,,False,1979,,2022-08-26,90000,2,,1,120661,2066,3,,,,2,3,single_family,2022-07-06T21:43:30Z,129900,sold,31321,Georgia,GA,Pembroke,Bryan,3980 GA Highway 119 Highway Hwy N,32.181857,-81.587476,"['central_air', 'central_heat', 'laundry_room', 'two_or_more_stories', 'big_lot', 'horse_stables', 'pond', 'fixer_upper']"
5962526166,,,,,,,,,,False,1975,,2022-08-26,240000,2,,,39204,1805,2,,,2,1,3,single_family,2022-07-02T04:55:31Z,239900,sold,31321,Georgia,GA,Pembroke,Bryan,23 Waters Cir,32.151115,-81.609083,"['central_air', 'corner_lot', 'dishwasher', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'no_hoa', 'big_lot', 'farm', 'ranch']"
6497139557,,,,,,,,,,,1997,,2022-08-16,78300,2,,,228690,1716,2,,,,1,3,single_family,,,sold,31321,Georgia,GA,Pembroke,Bulloch,3560 Starling Rd,32.224222,-81.63165,
9250137711,,,,,,,,,,False,,,2022-08-11,49500,,,,121097,,0,,,,,,land,2022-07-15T03:53:04Z,50500,sold,31321,Georgia,GA,Pembroke,Bryan,Ash Branch Church Rd Parcel B,,,"['big_lot', 'farm', 'ranch']"
5379224442,,,,,False,,,,,False,1979,,2022-08-01,569900,3,,1,320602,3356,4,,,1,2,5,single_family,2022-05-11T03:53:03Z,559900,sold,31321,Georgia,GA,Pembroke,Bulloch,23439 Highway 46,32.23647,-81.596474,"['central_air', 'central_heat', 'den_or_office', 'dishwasher', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'master_bathroom', 'master_bedroom', 'master_suite', 'big_lot', 'new_roof']"
5847845166,,,,,,,,,,False,2006,,2022-07-21,330000,2,,,47045,1930,2,,,,1,4,single_family,2022-05-07T04:39:52Z,309900,sold,31321,Georgia,GA,Pembroke,Bryan,2500 Sims Rd,32.166382,-81.6049,"['central_air', 'dishwasher', 'fireplace', 'hardwood_floors', 'laundry_room', 'single_story', 'garage_1_or_more', 'fenced_yard', 'vaulted_ceiling', 'master_suite', 'ensuite', 'farm', 'ranch', 'new_roof', 'shopping']"
9582467082,,,,,,,,,,False,2020,,2022-07-20,240000,2,,,12197,1500,2,,,,1,3,single_family,2022-06-01T05:32:23Z,229900,sold,31321,Georgia,GA,Pembroke,Bryan,522 Ash Branch Rd,32.147139,-81.620618,"['central_air', 'dishwasher', 'laundry_room', 'basement', 'single_story', 'garage_1_or_more', 'fenced_yard', 'no_hoa', 'farm', 'ranch']"
9631052872,,,,,,,,,,False,,,2022-07-19,110000,,,,361984,,,,,,,,land,2022-03-06T14:43:22Z,120000,sold,31321,Georgia,GA,Pembroke,Bryan,Highway 280 Unit A and Athen Church Rd,,,['big_lot']
9814100733,,,,,,,,,,,1900,,2022-07-13,650000,2,,,14375,0,2,,,,0,3,multi_family,,,sold,31321,Georgia,GA,Pembroke,Bryan,188 N Main St,32.138621,-81.621988,
9459724491,True,,,,,,,,,False,2022,,2022-07-08,280000,2,,1,13809,1863,3,,,2,1,4,single_family,2022-07-12T01:20:02Z,284900,sold,31321,Georgia,GA,Pembroke,Bryan,179 Judith St,32.142897,-81.618754,"['city_view', 'dishwasher', 'laundry_room', 'new_construction', 'view', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'master_bedroom', 'efficient', 'groundscare']"
9821604098,,,,,,,,,,,1960,,2022-07-01,269000,1,,,72310,0,1,,,,1,2,single_family,,,sold,31321,Georgia,GA,Pembroke,Bryan,6930 US Highway 280 E,32.149106,-81.516662,
6362434455,,,,,,,,,,False,2017,,2022-07-01,246500,2,,,20038,1642,2,,,2,1,3,single_family,2022-06-01T13:25:28Z,239900,sold,31321,Georgia,GA,Pembroke,Bryan,54 Shuman St,32.140308,-81.625881,"['central_air', 'dishwasher', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard', 'open_floor_plan', 'floor_plan', 'no_hoa', 'master_suite']"
5357323255,,,,,,,,,,,,,2022-07-01,75000,,,,229561,0,,,,,0,,land,,,sold,31321,Georgia,GA,Pembroke,Bulloch,2109 Ash Branch Church Rd,32.221114,-81.623624,
9199982816,,,,,,,,,,False,,,2022-07-01,20000,,,,226512,,,,,,,,land,2022-04-26T21:13:24Z,59900,sold,31321,Georgia,GA,Pembroke,Bryan,Starling Rd Lot 16,,,"['big_lot', 'farm', 'ranch']"
9288413797,,,,,,,,,,False,,,2022-07-01,55000,,,,229561,,,,,,,,land,2022-04-26T21:22:27Z,59900,sold,31321,Georgia,GA,Pembroke,Bryan,Starling Rd Lot 17,,,"['big_lot', 'farm', 'ranch']"
9975771942,,,,,,,,,,False,,,2022-06-29,48000,,,,227819,,,,,,,,land,2022-04-26T20:07:23Z,59900,sold,31321,Georgia,GA,Pembroke,Bryan,Starling Rd Lot 15,,,"['big_lot', 'farm', 'ranch']"
9809597582,,,,,,,,,,,,,2022-06-22,150000,,,,46609,0,,,,,0,,land,,,sold,30097,Georgia,GA,Duluth,Robeson,3963 River Village Ct,34.683543,-79.203538,
9210063415,,,,,,,,,,False,,,2022-06-15,46300,,,,217800,,0,,,,,,land,2022-04-20T03:53:04Z,50000,sold,31321,Georgia,GA,Pembroke,Bryan,Davis Rd,,,['big_lot']
5824620290,,,,,,,,,,,1920,,2022-06-08,150000,2,,,18731,2972,2,,,,1,3,single_family,,,sold,31321,Georgia,GA,Pembroke,Bryan,123 Church St,32.13775,-81.623697,
9688873075,,,,,,,,,,,,,2022-06-06,679950,,,,5320854,0,,,,,0,,farm,,,sold,31321,Georgia,GA,Pembroke,Bulloch,2200 Twin Forks Rd,32.25082,-81.785449,
5778160084,,,,,,,,,,False,2020,,2022-06-03,245000,2,,,575428,1568,2,,,,1,3,mobile,2022-06-26T02:20:20Z,235000,sold,31321,Georgia,GA,Pembroke,Bryan,100 Anchor Ln,32.117491,-81.720788,"['central_air', 'central_heat', 'laundry_room', 'single_story', 'big_lot']"
