property_id,is_new_construction,is_for_rent,is_subdivision,is_contingent,is_price_reduced,is_pending,is_foreclosure,is_plan,is_coming_soon,is_new_listing,year_built,baths_3qtr,sold_date,sold_price,baths_full,name,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,list_date,list_price,status,postal_code,state,state_code,city,county,address_line,latitude,longitude,tags
6321692661,,,,,,,,,,False,2014,,2022-11-18,390000,2,,,733115,1833,2,,,,1,3,single_family,2022-10-11T18:20:54Z,390000,sold,31822,Georgia,GA,Pine Mountain,Troup,1244 S Thompson Rd,32.922138,-84.944157,"['central_air', 'central_heat', 'community_outdoor_space', 'dishwasher', 'family_room', 'fireplace', 'laundry_room', 'recreation_facilities', 'single_story', 'garage_1_or_more', 'granite_kitchen', 'floor_plan', 'master_suite', 'big_lot']"
5163882138,,,,,,,,,,False,1994,,2022-11-16,315000,2,,,111514,2299,2,,,,1,3,single_family,2022-10-13T18:36:24Z,275000,sold,31822,Georgia,GA,Pine Mountain,Harris,574 Lake Dr,32.829108,-84.805555,"['central_air', 'community_boat_facilities', 'community_outdoor_space', 'dishwasher', 'fireplace', 'forced_air', 'lake_view', 'laundry_room', 'recreation_facilities', 'rv_or_boat_parking', 'view', 'water_view', 'single_story', 'waterfront', 'private_courtyard', 'farm', 'ranch', 'lake']"
6008541811,,,,,,,,,,False,1996,,2022-11-14,320000,3,,,106722,2509,3,,,,2,6,single_family,2022-09-26T16:19:12Z,330000,sold,31822,Georgia,GA,Pine Mountain,Troup,186 Old Chipley Rd,32.921311,-84.900617,"['fireplace', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'modern_kitchen', 'large_kitchen', 'no_hoa', 'big_lot']"
6529124709,,,,,,,,,,False,2008,,2022-11-14,542700,4,,,11761,3832,4,,,,2,6,single_family,2022-09-28T11:33:42Z,579900,sold,31822,Georgia,GA,Pine Mountain,Harris,326 Dogwood Way,32.850845,-84.861316,"['central_air', 'dishwasher', 'energy_efficient', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'basement', 'two_or_more_stories', 'master_bedroom', 'trails', 'lake', 'beach']"
5542433923,,,,,,,,,,False,1993,,2022-11-09,355000,2,,1,174240,2150,3,,,,2,3,single_family,2022-10-12T15:54:56Z,349900,sold,31822,Georgia,GA,Pine Mountain,Troup,54 Old Salem Trl,32.874677,-84.87733,"['community_outdoor_space', 'community_security_features', 'den_or_office', 'dishwasher', 'fireplace', 'laundry_room', 'ocean_view', 'recreation_facilities', 'rv_or_boat_parking', 'view', 'water_view', 'two_or_more_stories', 'garage_1_or_more', 'floor_plan', 'big_lot', 'new_roof']"
9770729194,,,,,False,,,,,False,,,2022-11-09,48000,,,,97139,,0,,,,,,land,2021-01-07T18:28:49Z,54900,sold,31822,Georgia,GA,Pine Mountain,Harris,Lot 155 Piedmont Lake 23 Ac Rd Lot 2,,,"['community_clubhouse', 'community_security_features', 'community_tennis_court', 'recreation_facilities', 'community_swimming_pool', 'waterfront', 'big_lot', 'gated_community', 'playground', 'tennis', 'views', 'lake', 'security', 'shopping']"
6280874838,,,,,,,,,,False,,,2022-11-08,78900,,,,31363,,0,,,,,,land,2022-05-02T03:53:03Z,82900,sold,31822,Georgia,GA,Pine Mountain,Harris,431 Highland Park Trce,32.845457,-84.856822,"['corner_lot', 'big_lot', 'golf_course', 'lake', 'beach']"
9647084571,True,,,,,,,,,False,2022,,2022-11-07,514990,3,,1,217800,3670,4,,,2,2,5,single_family,2022-08-12T18:39:33Z,514990,sold,31822,Georgia,GA,Pine Mountain,Harris,161 Hidden Lake Ct Lot 23,32.846029,-84.898849,"['central_heat', 'community_outdoor_space', 'community_security_features', 'family_room', 'fireplace', 'laundry_room', 'new_construction', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']"
5952730940,,,,,False,,,,,False,1920,,2022-11-03,134000,2,,,65340,2043,2,,,,1,3,single_family,2022-09-17T15:18:17Z,140000,sold,31822,Georgia,GA,Pine Mountain,Harris,305 Greenville Hwy,32.87236,-84.853111,"['carport', 'central_air', 'central_heat', 'corner_lot', 'den_or_office', 'dishwasher', 'laundry_room', 'single_story', 'front_porch']"
6515820768,,,,,,,,,,,2001,,2022-10-28,158000,2,,,10890,1296,2,,,,1,3,single_family,,,sold,31822,Georgia,GA,Pine Mountain,Harris,29 Bavarian Way,32.852684,-84.891168,
