property_id,is_new_construction,is_for_rent,is_subdivision,is_contingent,is_price_reduced,is_pending,is_foreclosure,is_plan,is_coming_soon,is_new_listing,year_built,baths_3qtr,sold_date,sold_price,baths_full,name,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,list_date,list_price,status,postal_code,state,state_code,city,county,address_line,latitude,longitude,tags
9637676667,,,,,,,,,,False,2008,,2022-11-17,61000,2,,,41382,672,2,,,,1,2,mobile,2022-10-30T16:37:38Z,64900,sold,30733,Georgia,GA,Plainville,Gordon,275 Webberdale Dr SW,34.436395,-85.017057,"['community_outdoor_space', 'laundry_room', 'washer_dryer', 'single_story', 'rental_property']"
6071144192,,,,,,,,,,,1935,,2022-11-07,85000,1,,,73616,2070,1,,,,2,3,single_family,,,sold,30733,Georgia,GA,Plainville,Gordon,908 Forrest St SW,34.403051,-85.036723,
5912018618,,,,,,,,,,False,1900,,2022-11-02,237500,2,,,197327,1481,2,,,,1,3,single_family,2022-07-23T15:41:02Z,249900,sold,30733,Georgia,GA,Plainville,Gordon,754 Franklin Rd SW,34.415069,-85.020824,"['central_air', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'hardwood_floors', 'hill_or_mountain_view', 'laundry_room', 'view', 'single_story', 'front_porch', 'big_lot', 'farm', 'ranch']"
6767492444,,,,,,,,,,False,,,2022-10-25,22500,,,,82328,,0,,,,,,land,2022-08-23T01:06:59Z,25000,sold,30733,Georgia,GA,Plainville,Gordon,Forrest Dr,34.421572,-85.018421,"['no_hoa', 'big_lot']"
9656288001,,,,,,,,,,False,,,2022-10-25,22500,,,,82328,,0,,,,,,land,2022-08-23T00:57:06Z,25000,sold,30733,Georgia,GA,Plainville,Gordon,Forrest Dr,,,"['no_hoa', 'big_lot']"
6815866787,,,,,,,,,,,2005,,2022-10-14,315000,2,,,221285,2432,2,,,,1,3,single_family,,,sold,30733,Georgia,GA,Plainville,Gordon,730 Webber Rd SW,34.429853,-85.019875,
6019083671,,,,,,,,,,False,1966,,2022-10-14,153000,1,,1,47916,1230,2,,,,1,2,single_family,2022-09-30T20:46:18Z,149900,sold,30733,Georgia,GA,Plainville,Gordon,1559 Riverbend Rd SW,34.416804,-85.078058,"['carport', 'central_air', 'central_heat', 'community_outdoor_space', 'fireplace', 'hardwood_floors', 'laundry_room', 'single_story', 'front_porch', 'outbuilding', 'big_lot']"
5152985901,,,,,,,,,,False,1960,,2022-09-30,139150,1,,,32670,714,1,,,,1,2,single_family,2022-09-02T13:10:27Z,132000,sold,30733,Georgia,GA,Plainville,Gordon,444 Plainville Rd SW,34.406756,-85.023767,"['central_air', 'central_heat', 'community_outdoor_space', 'dishwasher', 'energy_efficient', 'family_room', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'single_story', 'big_yard', 'open_floor_plan', 'floor_plan', 'large_porch']"
6623537257,,,,,,,,,,False,1940,,2022-09-28,125000,1,,1,44867,944,2,,,,1,2,single_family,2022-08-17T00:24:30Z,129900,sold,30733,Georgia,GA,Plainville,Gordon,308 Riverbend Rd SW,34.40667,-85.043184,"['community_outdoor_space', 'lake_view', 'laundry_room', 'view', 'water_view', 'single_story']"
5067073382,,,,,,,,,,False,1945,,2022-09-07,60000,1,,,38768,,1,,,,1,1,single_family,2022-08-04T04:35:26Z,65000,sold,30733,Georgia,GA,Plainville,Gordon,4035 Rome Rd SW,34.400861,-85.018421,"['carport', 'single_story', 'garage_1_or_more', 'fixer_upper']"
