property_id,is_new_construction,is_for_rent,is_subdivision,is_contingent,is_price_reduced,is_pending,is_foreclosure,is_plan,is_coming_soon,is_new_listing,year_built,baths_3qtr,sold_date,sold_price,baths_full,name,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,list_date,list_price,status,postal_code,state,state_code,city,county,address_line,latitude,longitude,tags
6836795939,,,,,,,,,,False,1997,,2022-11-23,289900,2,,,34412,1560,2,,,,1,3,single_family,2022-10-06T19:49:35Z,289900,sold,30736,Georgia,GA,Ringgold,Catoosa,212 Eagle View Dr,34.964404,-85.145314,"['central_air', 'central_heat', 'dishwasher', 'fireplace', 'hardwood_floors', 'laundry_room', 'single_story', 'garage_1_or_more', 'ensuite']"
6495011088,,,,,,,,,,False,1976,,2022-11-14,239125,2,,,16117,1566,2,,,2,,3,single_family,2022-08-29T14:52:34Z,250000,sold,30736,Georgia,GA,Ringgold,Catoosa,351 Larry Dr,34.97088,-85.185724,"['central_air', 'central_heat', 'community_outdoor_space', 'dishwasher', 'fireplace', 'garage_1_or_more', 'garage_2_or_more', 'single_story']"
6384240230,,,,,,,,,,,2003,,2022-11-09,250000,2,,,32670,1164,2,,,,1,,single_family,,,sold,30736,Georgia,GA,Ringgold,Catoosa,85 Fallbrooke Ln,34.905877,-85.156291,
5508560068,,,,,,,,,,False,1991,,2022-11-09,550000,5,,,16553,4940,5,,,6,2,6,single_family,2022-11-14T21:19:26Z,599900,sold,30736,Georgia,GA,Ringgold,Catoosa,256 Hillcrest Cir,34.931155,-85.162504,"['central_air', 'central_heat', 'community_outdoor_space', 'dishwasher', 'hardwood_floors', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more']"
6812390965,,,,,,,,,,,1987,,2022-11-08,293050,1,,,3056605,938,1,,,,1,,mobile,,,sold,30736,Georgia,GA,Ringgold,Catoosa,995 Keith Salem Rd,34.939806,-85.044093,
6869797117,,,,,,,,,,,2004,,2022-11-08,155000,2,,,23087,2047,2,,,,1,,single_family,,,sold,30736,Georgia,GA,Ringgold,Catoosa,130 Shope Ridge Rd,34.885329,-85.156936,
6453180327,,,,,,,,,,,1995,,2022-11-08,223000,2,,,21344,1008,2,,,,1,,single_family,,,sold,30736,Georgia,GA,Ringgold,Catoosa,549 Davis Ridge Rd,34.881149,-85.183494,
6252984536,,,,,,,,,,,1962,,2022-11-07,184300,1,,1,19166,1125,2,,,,1,,single_family,,,sold,30736,Georgia,GA,Ringgold,Catoosa,130 Ross Hollow Rd,34.954371,-85.148594,
5392703981,,,,,,,,,,,1990,,2022-11-07,1500000,1,,,1779426,1080,1,,,,1,,mobile,,,sold,30736,Georgia,GA,Ringgold,Catoosa,210 Ardis Loop # 22,34.912023,-85.147719,
9208453544,,,,,,,,,,,2020,,2022-11-04,292000,2,,,5227,1336,2,,,,1,,single_family,,,sold,30736,Georgia,GA,Ringgold,Catoosa,92 Paxtons Way,34.971392,-85.161331,
5202591179,,,,,,,,,,False,1984,,2022-11-04,252500,,,,12632,,,,,,2,,multi_family,2022-10-06T10:30:10Z,279900,sold,30736,Georgia,GA,Ringgold,Catoosa,31 37 Agappa Ln,34.926328,-85.200217,"['central_air', 'central_heat', 'laundry_room', 'two_or_more_stories', 'master_bedroom', 'floor_plan', 'rental_property', 'investment_opportunity']"
6567949280,,,,,,,,,,False,1995,,2022-11-04,339500,2,,,20473,1740,2,,,2,1,3,single_family,2022-09-28T12:50:50Z,339500,sold,30736,Georgia,GA,Ringgold,Catoosa,119 Scenic Cir,34.914174,-85.204173,"['central_air', 'central_heat', 'community_outdoor_space', 'dishwasher', 'fireplace', 'basement', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'updated_kitchen', 'vaulted_ceiling', 'groundscare']"
5966077193,,,,,False,,,,,False,1979,,2022-11-04,220000,2,,,11761,1312,2,,,2,2,3,single_family,2022-07-26T16:04:14Z,220000,sold,30736,Georgia,GA,Ringgold,Catoosa,118 Woodie Dr,34.980681,-85.177547,"['central_air', 'central_heat', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'family_room', 'fireplace', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']"
5973419744,,,,,,,,,,,2013,,2022-11-04,340000,2,,,6534,1484,2,,,,1,,single_family,,,sold,30736,Georgia,GA,Ringgold,Catoosa,105 Garden Ter,34.915658,-85.152685,
5964439051,,,,,,,,,,,2007,,2022-11-04,221500,2,,,13504,1092,2,,,,1,,single_family,,,sold,30736,Georgia,GA,Ringgold,Catoosa,169 Holcomb Rd,34.915533,-85.153938,
5700365948,,,,,,,,,,,1985,,2022-11-04,80000,2,,,43560,960,2,,,,1,,single_family,,,sold,30736,Georgia,GA,Ringgold,Catoosa,3676 Mount Pisgah Rd,34.837857,-85.188635,
5130679192,,,,,,,,,,,2009,,2022-11-04,357000,2,,1,15246,2474,3,,,,2,,single_family,,,sold,30736,Georgia,GA,Ringgold,Catoosa,25 Holly Oak Ln,34.919245,-85.14321,
5607336674,,,,,,,,,,,1976,,2022-11-03,109000,2,,,435600,2386,2,,,,1,,single_family,,,sold,30736,Georgia,GA,Ringgold,Catoosa,9887 Alabama Hwy,34.85121,-85.141412,
