property_id,is_new_construction,is_for_rent,is_subdivision,is_contingent,is_price_reduced,is_pending,is_foreclosure,is_plan,is_coming_soon,is_new_listing,year_built,baths_3qtr,sold_date,sold_price,baths_full,name,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,list_date,list_price,status,postal_code,state,state_code,city,county,address_line,latitude,longitude,tags
6179727918,,,,,,,,,,False,1951,,2022-11-28,340000,1,,,9718,1148,1,,,,1,3,single_family,2022-10-26T13:56:14Z,340000,sold,30080,Georgia,GA,Smyrna,Cobb,1350 Twin Oaks Cir SE,33.868036,-84.514179,"['carport', 'central_air', 'central_heat', 'community_outdoor_space', 'dishwasher', 'family_room', 'hardwood_floors', 'laundry_room', 'washer_dryer', 'single_story', 'basement', 'updated_kitchen', 'private_backyard', 'fenced_yard', 'new_roof']"
5827143463,,,,,,,,,,False,1966,,2022-11-22,335000,1,,,7048,1242,1,,,,2,3,single_family,2022-10-27T09:41:36Z,334900,sold,30080,Georgia,GA,Smyrna,Cobb,3600 Ridge Rd SE,33.865648,-84.49671,"['central_air', 'central_heat', 'community_outdoor_space', 'dishwasher', 'energy_efficient', 'family_room', 'hardwood_floors', 'laundry_room', 'basement', 'two_or_more_stories', 'big_yard', 'new_roof', 'groundscare']"
5359840158,,,,,,,,,,False,2014,,2022-11-22,535000,3,,1,1307,2862,4,townhouse,,2,3,4,townhomes,2022-10-27T09:41:36Z,535000,sold,30082,Georgia,GA,Smyrna,Cobb,544 Micayne Cir SE,33.866345,-84.538184,"['central_air', 'city_view', 'community_outdoor_space', 'community_security_features', 'den_or_office', 'dishwasher', 'family_room', 'fireplace', 'game_room', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'view', 'washer_dryer', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'ensuite']"
6104126693,,,,,,,,,,False,1963,,2022-11-21,271450,2,,,9714,,2,,,,1,3,single_family,2022-10-11T21:13:03Z,285000,sold,30082,Georgia,GA,Smyrna,Cobb,62 Lucia Dr SE,33.867171,-84.551839,"['carport', 'central_air', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'dishwasher', 'forced_air', 'hardwood_floors', 'laundry_room', 'view', 'washer_dryer', 'water_view', 'single_story', 'modern_kitchen', 'open_kitchen', 'master_suite', 'ensuite']"
6946736400,,,,,,,,,,False,1981,,2022-11-21,246000,2,,,5266,1318,2,condo,,,1,2,condos,2022-10-21T20:20:59Z,250000,sold,30080,Georgia,GA,Smyrna,Cobb,205 Cumberland Ct SE,33.884861,-84.516434,"['central_air', 'central_heat', 'community_outdoor_space', 'community_security_features', 'community_tennis_court', 'den_or_office', 'dishwasher', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'washer_dryer', 'community_swimming_pool', 'single_story', 'open_floor_plan', 'floor_plan', 'ensuite', 'park', 'tennis', 'trails', 'views']"
9368947961,,,,,,,,,,False,2019,,2022-11-21,640000,3,,,,2748,3,,,2,2,4,single_family,2022-09-24T19:54:41Z,649900,sold,30082,Georgia,GA,Smyrna,Cobb,317 Conner Cir,33.844205,-84.539284,"['community_outdoor_space', 'community_security_features', 'dishwasher', 'family_room', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard', 'floor_plan', 'lake', 'groundscare']"
6441916567,,,,,,,,,,False,,,2022-11-21,91750,,,,13159,,0,,,,,,land,2022-10-11T22:50:18Z,125000,sold,30082,Georgia,GA,Smyrna,Cobb,478 Terrace Dr SW,33.863829,-84.568076,"['single_story', 'no_hoa', 'shopping']"
6067494271,,,,,False,,,,,False,1966,,2022-11-21,340000,1,,1,13112,1255,2,,,1,1,3,single_family,2022-08-26T18:21:11Z,340000,sold,30082,Georgia,GA,Smyrna,Cobb,3375 Landrum Dr SE,33.871652,-84.552514,"['central_air', 'central_heat', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'dishwasher', 'hardwood_floors', 'laundry_room', 'basement', 'single_story', 'garage_1_or_more', 'fenced_yard', 'front_porch', 'farm', 'ranch']"
5605970458,,,,,True,,,,,False,2017,,2022-11-21,590000,3,,,4574,3266,3,,,2,2,4,single_family,2022-10-06T16:55:00Z,639900,sold,30082,Georgia,GA,Smyrna,Cobb,2013 White Cypress Ct,33.893536,-84.542388,"['central_air', 'central_heat', 'community_clubhouse', 'community_gym', 'community_outdoor_space', 'community_security_features', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']"
6523170843,,,,,,,,,,False,1962,,2022-11-21,500000,2,,,24394,1648,2,,,,1,3,single_family,2022-10-13T15:10:13Z,500000,sold,30082,Georgia,GA,Smyrna,Cobb,4304 Lake Laurel Dr SE,33.848949,-84.510288,"['carport', 'central_air', 'central_heat', 'community_outdoor_space', 'dishwasher', 'family_room', 'fireplace', 'hardwood_floors', 'lake_view', 'laundry_room', 'view', 'water_view', 'single_story', 'waterfront', 'modern_kitchen', 'large_kitchen', 'fenced_yard', 'open_floor_plan', 'floor_plan', 'farm', 'ranch', 'views', 'lake', 'shopping']"
