property_id,is_new_construction,is_for_rent,is_subdivision,is_contingent,is_price_reduced,is_pending,is_foreclosure,is_plan,is_coming_soon,is_new_listing,year_built,baths_3qtr,sold_date,sold_price,baths_full,name,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,list_date,list_price,status,postal_code,state,state_code,city,county,address_line,latitude,longitude,tags
6808913157,,,,,,,,,,False,2000,,2022-11-29,190000,2,,,32670,1366,2,,,2,1,3,single_family,2022-10-18T15:03:16Z,195000,sold,31605,Georgia,GA,Valdosta,Lowndes,4303 Shadowwood Dr,30.9223,-83.233443,"['community_outdoor_space', 'community_security_features', 'dishwasher', 'fireplace', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'big_yard', 'fenced_yard', 'master_bedroom', 'floor_plan', 'no_hoa', 'big_lot']"
5185299202,,,,,False,,,,,False,1986,,2022-11-29,148200,2,,,7405,1458,2,,,2,1,3,single_family,2022-09-21T20:59:24Z,144900,sold,31602,Georgia,GA,Valdosta,Lowndes,2600 Banks Cir,30.863831,-83.264894,"['community_outdoor_space', 'dishwasher', 'family_room', 'fireplace', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'master_bedroom']"
5239915666,,,,,,,,,,False,1997,,2022-11-29,182000,2,,,20038,1325,2,,,2,1,3,single_family,2022-11-08T13:58:34Z,182500,sold,31605,Georgia,GA,Valdosta,Lowndes,4418 Cranston Cir,30.923911,-83.256681,"['central_air', 'central_heat', 'dishwasher', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'open_floor_plan', 'floor_plan', 'new_roof']"
6057209328,,,,,False,,,,,False,1985,,2022-11-28,175000,2,,,16117,1543,2,,,,1,3,single_family,2022-09-08T00:04:50Z,169900,sold,31605,Georgia,GA,Valdosta,Lowndes,4116 Pebble Creek Dr,30.945026,-83.244682,"['central_air', 'central_heat', 'dishwasher', 'fireplace', 'single_story', 'new_roof', 'groundscare']"
5151126332,,,,,,,,,,False,1987,,2022-11-28,182000,2,,,27007,1530,2,,,1,1,3,single_family,2022-10-18T16:28:43Z,189900,sold,31605,Georgia,GA,Valdosta,Lowndes,4148 Pebble Creek Dr,30.94419,-83.248693,"['central_air', 'central_heat', 'community_security_features', 'dishwasher', 'single_story', 'garage_1_or_more', 'vaulted_ceiling', 'ensuite', 'shopping']"
6370527524,,,,,,,,,,False,,,2022-11-28,107000,1,,,1089,1236,1,,,1,1,3,single_family,2022-10-20T19:32:03Z,99900,sold,31601,Georgia,GA,Valdosta,Lowndes,907 Ridgewood Dr,30.840353,-83.298161,"['carport', 'community_outdoor_space', 'single_story', 'garage_1_or_more']"
6583522226,,,,,False,,,,,False,,,2022-11-23,110000,1,,1,33977,1332,2,,,,1,3,single_family,2022-08-02T17:03:51Z,138900,sold,31601,Georgia,GA,Valdosta,Lowndes,2285 Copeland Rd,30.79045,-83.2669,"['central_air', 'central_heat', 'dishwasher', 'family_room', 'recreation_facilities', 'single_story', 'big_lot']"
6206919122,,,,,False,,,,,False,1969,,2022-11-23,90000,2,,,43560,1104,2,,,,1,4,single_family,2022-07-26T17:28:36Z,108500,sold,31601,Georgia,GA,Valdosta,Lowndes,3419 Old Clyattville Rd,30.734864,-83.315879,"['central_air', 'central_heat', 'single_story', 'big_lot']"
6437520774,,,,,,,,,,False,1989,,2022-11-23,164000,2,,,13504,1435,2,,,2,1,3,single_family,2022-09-26T15:10:36Z,159900,sold,31602,Georgia,GA,Valdosta,Lowndes,954 Lakeside Dr,30.862415,-83.273936,"['central_air', 'central_heat', 'community_outdoor_space', 'fireplace', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'waterfront', 'vaulted_ceiling', 'new_roof', 'lake']"
6265499900,,,,,,,,,,False,1966,,2022-11-23,165000,3,,,22651,2583,3,,,2,,5,single_family,2022-09-15T20:10:34Z,175000,sold,31602,Georgia,GA,Valdosta,Lowndes,1905 Wood Valley Dr,30.853708,-83.321629,"['central_air', 'central_heat', 'community_outdoor_space', 'dishwasher', 'washer_dryer', 'garage_1_or_more', 'garage_2_or_more', 'two_or_more_stories']"
