property_id,is_new_construction,is_for_rent,is_subdivision,is_contingent,is_price_reduced,is_pending,is_foreclosure,is_plan,is_coming_soon,is_new_listing,year_built,baths_3qtr,sold_date,sold_price,baths_full,name,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,list_date,list_price,status,postal_code,state,state_code,city,county,address_line,latitude,longitude,tags
6126453117,,,,,,,,,,,1966,,2022-10-26,108000,1,,,100188,1458,1,,,,1,,single_family,,,sold,39897,Georgia,GA,Whigham,Grady,177 E Broad St,30.882639,-84.320829,
9237092915,,,,,,,,,,,1869,,2022-10-18,75000,1,,,1091614,965,1,,,,1,,farm,,,sold,39897,Georgia,GA,Whigham,Grady,793 Trinity Rd,30.930972,-84.314035,
6124328958,,,,,,,,,,,1973,,2022-10-14,60000,1,,,23522,1025,1,,,,1,,single_family,,,sold,39897,Georgia,GA,Whigham,Grady,224 Christopher Ave NW,30.887458,-84.328919,
5015470017,,,,,,,,,,,1999,,2022-09-12,320000,2,,,75359,2906,2,,,,1,,single_family,,,sold,39897,Georgia,GA,Whigham,Grady,1155 Old 84,30.906737,-84.310824,
5967849266,,,,,,,,,,,1943,,2022-09-07,220000,1,,,130680,1228,1,,,,1,,single_family,,,sold,39897,Georgia,GA,Whigham,Grady,1037 Trinity Rd,30.939868,-84.315701,
6217786225,,,,,,,,,,,2014,,2022-09-01,359000,2,,,65340,2698,2,,,,1,3,single_family,,,sold,39897,Georgia,GA,Whigham,Grady,469 Beck Branch Rd,30.740017,-84.339528,
9469844201,,,,,,,,,,,1962,,2022-08-26,133125,2,,,1089000,2408,2,,,,1,,single_family,,,sold,39897,Georgia,GA,Whigham,Grady,1214 Spring Hill Rd,30.97938,-84.302271,
6125707798,,,,,,,,,,,1874,,2022-08-12,15000,1,,,22216,1455,1,,,,1,,single_family,,,sold,39897,Georgia,GA,Whigham,Grady,123 Lee Ave,30.880746,-84.325091,
6124142629,,,,,,,,,,,,,2022-08-05,108000,,,,23522,0,,,,,0,,single_family,,,sold,39897,Georgia,GA,Whigham,Grady,205 Harrell Ave NW,30.888032,-84.328544,
5184657396,,,,,,,,,,,,,2022-08-02,63500,,,,3529231,0,,,,,0,,farm,,,sold,39897,Georgia,GA,Whigham,Grady,2225 Old 179 S,30.81427,-84.327409,
6537543083,,,,,,,,,,,2004,,2022-08-02,208000,2,,,87120,1632,2,,,,1,,single_family,,,sold,39897,Georgia,GA,Whigham,Grady,249 Due South Rd,30.855765,-84.290641,
9180502311,,,,,,,,,,False,1971,,2022-07-29,588500,2,,,3397680,2300,2,,,,1,3,farm,2022-05-20T05:01:06Z,700000,sold,39897,Georgia,GA,Whigham,Grady,3369 Spring Hill Rd,30.946387,-84.358151,"['carport', 'central_air', 'central_heat', 'den_or_office', 'fireplace', 'hardwood_floors', 'laundry_room', 'basement', 'single_story', 'big_lot', 'farm', 'ranch', 'pond']"
6180892636,,,,,,,,,,,1972,,2022-07-15,65000,1,,,65340,1040,1,,,,1,,single_family,,,sold,39897,Georgia,GA,Whigham,Grady,630 Cal Thomas Rd,30.988119,-84.374632,
5956520419,,,,,,,,,,,1940,,2022-07-07,65362,1,,,50965,1680,1,,,,1,,single_family,,,sold,39897,Georgia,GA,Whigham,Grady,1052 Attapulgus Whigham Rd,30.855607,-84.349871,
5925546398,,,,,,,,,,,1936,,2022-06-30,135000,1,,,27878,1994,1,,,,1,,single_family,,,sold,39897,Georgia,GA,Whigham,Grady,135 W Broad Ave,30.882969,-84.32549,
5960321545,,,,,,,,,,,2003,,2022-06-29,120000,2,,,87120,1008,2,,,,1,,single_family,,,sold,39897,Georgia,GA,Whigham,Grady,777 Swamp Creek Rd,30.741944,-84.371817,
