property_id,is_new_construction,is_for_rent,is_subdivision,is_contingent,is_price_reduced,is_pending,is_foreclosure,is_plan,is_coming_soon,is_new_listing,year_built,baths_3qtr,sold_date,sold_price,baths_full,name,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,list_date,list_price,status,postal_code,state,state_code,city,county,address_line,latitude,longitude,tags
5964393622,,,,,False,,,,,False,1850,,2022-10-18,330000,2,,1,151153,3424,3,,,,2,5,single_family,2022-06-24T16:21:39Z,364900,sold,31097,Georgia,GA,Yatesville,Upson,1929 Yatesville Barnesville Rd,32.966042,-84.151417,"['central_air', 'central_heat', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'family_room', 'fireplace', 'laundry_room', 'two_or_more_stories', 'master_suite', 'big_lot', 'farm', 'views']"
9950546397,,,,,False,,,,,False,,,2022-09-27,107000,,,,1072012,,0,,,,,,land,2022-06-11T03:53:04Z,107055,sold,31097,Georgia,GA,Yatesville,Upson,Perdue Rd,,,['big_lot']
6562758462,,,,,False,,,,,False,2002,,2022-09-16,123600,2,,,220414,1680,2,,,,1,3,mobile,2022-07-05T12:02:04Z,120000,sold,31097,Georgia,GA,Yatesville,Upson,1491 Boyt Rd,32.942404,-84.185674,"['central_air', 'central_heat', 'community_outdoor_space', 'dishwasher', 'laundry_room', 'single_story', 'wooded_land', 'front_porch', 'big_lot']"
9682745476,,,,,False,,,,,False,,,2022-09-09,160000,,,,1154776,,0,,,,,,land,2022-07-24T04:12:11Z,160000,sold,31097,Georgia,GA,Yatesville,Upson,Yatesville Hwy,,,"['big_lot', 'trails']"
9978261757,,,,,,,,,,False,1999,,2022-09-06,300000,2,,,725274,1232,2,,,,1,2,single_family,2022-09-07T15:48:27Z,300000,sold,31097,Georgia,GA,Yatesville,Upson,2134 Logtown Rd,32.873972,-84.191246,"['central_air', 'central_heat', 'dishwasher', 'fireplace', 'hardwood_floors', 'laundry_room', 'washer_dryer', 'single_story', 'big_lot']"
5340285781,,,,,,,,,,,1950,,2022-09-01,83203,1,,,586318,1465,1,,,,1,2,single_family,,,sold,31097,Georgia,GA,Yatesville,Lamar,2533 GA Highway 341 S,32.947526,-84.094385,
6782374181,,,,,,,,,,,1972,,2022-08-26,200000,2,,,22216,1800,2,,,,1,4,single_family,,,sold,31097,Georgia,GA,Yatesville,Upson,71 Florence St,32.912949,-84.14094,
5348644725,,,,,,,,,,False,1990,,2022-07-22,145000,2,,,219978,1200,2,,,,1,3,mobile,2022-05-17T05:58:44Z,142000,sold,31097,Georgia,GA,Yatesville,Upson,333 Green Forest Rd,32.945416,-84.186771,"['central_air', 'central_heat', 'community_outdoor_space', 'den_or_office', 'laundry_room', 'single_story', 'big_lot']"
5759409478,,,,,,,,,,,1966,,2022-07-14,147000,1,,,47916,1509,1,,,,1,3,single_family,,,sold,31097,Georgia,GA,Yatesville,Upson,30 Childs Ave,32.912926,-84.144011,
6245718717,,,,,,,,,,False,1976,,2022-06-07,145000,2,,,42689,1102,2,,,,1,3,single_family,2022-04-02T04:32:15Z,145000,sold,31097,Georgia,GA,Yatesville,Upson,209 Kendall Rd,32.851471,-84.180924,"['carport', 'central_air', 'central_heat', 'dishwasher', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'single_story', 'playground']"
9027360694,,,,,,,,,,False,,,2022-06-03,149900,,,,886882,,0,,,,,,land,2022-04-13T03:53:03Z,149900,sold,31097,Georgia,GA,Yatesville,Upson,Rock Quarry Rd,,,"['big_lot', 'farm']"
