property_id,is_new_construction,is_for_rent,is_subdivision,is_contingent,is_price_reduced,is_pending,is_foreclosure,is_plan,is_coming_soon,is_new_listing,year_built,baths_3qtr,sold_date,sold_price,baths_full,name,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,list_date,list_price,status,postal_code,state,state_code,city,county,address_line,latitude,longitude,tags
9035643029,True,,,,,,,,,False,2021,,2022-11-07,170000,1,,,3485,,1,,,,1,1,mobile,2022-09-23T21:17:27Z,185000,sold,30528,Georgia,GA,Cleveland,White,240 Stag Leap Dr,34.641452,-83.744553,"['community_gym', 'community_outdoor_space', 'community_security_features', 'den_or_office', 'laundry_room', 'new_construction', 'recreation_facilities', 'single_story', 'community_swimming_pool', 'screen_porch', 'front_porch', 'outbuilding', 'farm', 'shopping']"
6482148193,,,,,,,,,,False,,,2022-10-27,100000,1,,,,,1,,,,1,1,single_family,2022-09-30T19:34:35Z,112900,sold,30528,Georgia,GA,Cleveland,White,44 Dutchman Way,34.64669,-83.732795,"['central_air', 'central_heat', 'community_clubhouse', 'corner_lot', 'hardwood_floors', 'recreation_facilities', 'community_swimming_pool', 'single_story', 'water_view', 'playground']"
6068113971,,,,,,,,,,False,,,2022-10-14,83000,,,,21780,,0,,,,,,land,2022-09-16T02:44:34Z,92500,sold,30528,Georgia,GA,Cleveland,White,46 Wonderland Way,34.641478,-83.745503,"['community_clubhouse', 'community_gym', 'corner_lot', 'hill_or_mountain_view', 'recreation_facilities', 'senior_community', 'view', 'community_swimming_pool', 'rental_property', 'gated_community', 'clubhouse', 'security', 'shopping']"
9430291404,,,,,,,,,,,,,2022-10-13,30000,,,,3638,,0,,,,,,mobile,,,sold,30545,Georgia,GA,Helen,White,26 Dutchman Way,34.646979,-83.732678,
9332674090,,,,,False,,,,,False,2012,,2022-10-11,200126,1,,,21780,,1,,,,1,1,single_family,2022-07-03T04:10:34Z,209000,sold,30528,Georgia,GA,Cleveland,White,96 Stag Leap Dr,34.641223,-83.746836,"['central_air', 'central_heat', 'community_clubhouse', 'community_outdoor_space', 'community_security_features', 'fireplace', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'single_story', 'clubhouse', 'maintenance']"
5652310154,,,,,,,,,,,,,2022-10-06,248000,,,,3102,0,,,,,0,,mobile,,,sold,30528,Georgia,GA,Cleveland,White,75 Stag Leap Dr,34.641523,-83.747336,
9171629651,True,,,,False,,,,,False,2022,,2022-10-03,450000,2,,1,43560,1740,3,,,,2,3,single_family,2022-08-03T04:09:58Z,459900,sold,30528,Georgia,GA,Cleveland,White,1360 Chambers Rd,34.643171,-83.734504,"['central_air', 'central_heat', 'community_outdoor_space', 'corner_lot', 'dishwasher', 'fireplace', 'hardwood_floors', 'hill_or_mountain_view', 'laundry_room', 'new_construction', 'recreation_facilities', 'view', 'two_or_more_stories', 'modern_kitchen', 'open_kitchen', 'vaulted_ceiling', 'open_floor_plan', 'floor_plan', 'big_lot']"
5497810968,,,,,,,,,,,1983,,2022-10-03,225000,2,,,55757,1242,2,,,,1,3,single_family,,,sold,30571,Georgia,GA,Sautee Nacoochee,White,1774 Joe Black Rd,34.655289,-83.734736,
6454671422,,,,,False,,,,,False,1984,,2022-09-21,290000,3,,,65776,1964,3,,,,2,4,single_family,2022-07-24T22:53:41Z,299900,sold,30528,Georgia,GA,Cleveland,White,139 Terrys Pl,34.656419,-83.733344,"['central_air', 'central_heat', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'dishwasher', 'fireplace', 'game_room', 'laundry_room', 'recreation_facilities', 'basement', 'two_or_more_stories', 'open_floor_plan', 'floor_plan', 'wrap_around_porch', 'big_lot', 'ensuite', 'farm', 'ranch', 'new_roof', 'park', 'shopping']"
6082737873,,,,,,,,,,,,,2022-09-14,188000,,,,3272,0,,,,,0,,mobile,,,sold,30528,Georgia,GA,Cleveland,White,153 Elkmont Trl,34.640959,-83.743175,
9688390620,,,,,,,,,,False,2007,,2022-09-09,248000,1,,,,,1,,,,1,1,single_family,2022-08-20T05:07:06Z,248000,sold,30528,Georgia,GA,Cleveland,White,75 and 81 Stag Leap Dr Units 29 & 30,34.641545,-83.747215,"['central_air', 'central_heat', 'community_security_features', 'energy_efficient', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'rv_or_boat_parking', 'community_swimming_pool', 'single_story', 'private_backyard', 'vaulted_ceiling', 'screen_porch']"
6556394055,,,,,,,,,,False,1974,,2022-09-01,285000,2,,,87120,1700,2,,,,1,3,single_family,2022-07-18T17:47:10Z,285000,sold,30528,Georgia,GA,Cleveland,White,187 Asbestos Rd,34.632976,-83.751118,"['central_air', 'central_heat', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'energy_efficient', 'fireplace', 'hardwood_floors', 'laundry_room', 'ocean_view', 'view', 'water_view', 'basement', 'single_story', 'granite_kitchen', 'updated_kitchen', 'big_lot', 'farm', 'ranch']"
6442268772,,,,,False,,,,,False,2020,,2022-08-29,200000,1,,,43560,,1,,,,1,1,single_family,2022-08-04T04:35:26Z,212000,sold,30528,Georgia,GA,Cleveland,White,313 Elkmont Trl Unit 86,34.640477,-83.745937,"['central_air', 'central_heat', 'community_clubhouse', 'community_gym', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'family_room', 'fireplace', 'laundry_room', 'recreation_facilities', 'washer_dryer', 'single_story']"
