# CSV-File created with merge-csv.com
# -----------------------------------------------------------

property_id,is_new_construction,is_for_rent,is_subdivision,is_contingent,is_price_reduced,is_pending,is_foreclosure,is_plan,is_coming_soon,is_new_listing,year_built,baths_3qtr,sold_date,sold_price,baths_full,name,baths_half,lot_sqft,sqft,baths,sub_type,baths_1qtr,garage,stories,beds,type,list_date,list_price,status,postal_code,state,state_code,city,county,address_line,latitude,longitude,tags
5644896557,,,,,,,,,,False,1998,,2022-11-28,350000,2,,1,7536,,3,,,2,2,4,single_family,2022-10-26T18:07:31Z,350000,sold,30101,Georgia,GA,Acworth,Cobb,4303 Chesapeake Trce NW,34.062831,-84.631441,"['central_air', 'community_clubhouse', 'community_outdoor_space', 'dishwasher', 'fireplace', 'forced_air', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'basketball_court', 'tennis', 'volleyball', 'basketball']"
5576900030,,,,,,,,,,False,2007,,2022-11-28,610535,3,,,17424,3095,3,,,,2,4,single_family,2022-10-13T05:09:42Z,599000,sold,30101,Georgia,GA,Acworth,Cobb,5305 Magnolia Gardens Ln NW,33.990945,-84.706894,"['central_air', 'central_heat', 'corner_lot', 'dishwasher', 'fireplace', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'swimming_pool', 'granite_kitchen', 'coffer_ceiling', 'master_bathroom', 'jack_and_jill_bathroom', 'open_house']"
9023419552,True,,,,,,,,,False,2022,,2022-11-23,690600,4,,1,18295,,5,,,3,3,4,single_family,2022-07-14T16:57:59Z,683000,sold,30101,Georgia,GA,Acworth,Cobb,4203 Old Cherokee St,34.074275,-84.674722,"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'corner_lot', 'den_or_office', 'dishwasher', 'energy_efficient', 'family_room', 'fireplace', 'laundry_room', 'new_construction', 'view', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'no_hoa', 'rental_property', 'big_lot', 'farm', 'trails', 'lake', 'beach', 'shopping']"
6976829980,,,,,False,,,,,False,1999,,2022-11-23,323500,2,,1,6686,1236,3,,,2,2,3,single_family,2022-08-31T20:11:00Z,326000,sold,30101,Georgia,GA,Acworth,Cobb,5059 Vail Dr NW,34.074802,-84.665403,"['central_air', 'community_security_features', 'fireplace', 'hardwood_floors', 'laundry_room', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'high_ceiling']"
5049871253,,,,,,,,,,False,1998,,2022-11-23,410000,2,,,10454,1754,2,,,2,1,3,single_family,2022-10-08T07:48:48Z,399000,sold,30101,Georgia,GA,Acworth,Cobb,2529 Howell Farms Way NW,34.070358,-84.620663,"['central_air', 'central_heat', 'community_clubhouse', 'community_outdoor_space', 'community_security_features', 'community_tennis_court', 'den_or_office', 'dishwasher', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'community_swimming_pool', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'farm', 'ranch', 'groundscare', 'maintenance']"
6519926077,,,,,,,,,,False,2006,,2022-11-23,300000,2,,1,2614,1624,3,townhouse,,2,2,3,townhomes,2022-10-21T14:11:54Z,305000,sold,30101,Georgia,GA,Acworth,Cobb,2566 Willow Grove Rd NW Unit 19,34.064297,-84.627242,"['central_air', 'central_heat', 'community_outdoor_space', 'dishwasher', 'energy_efficient', 'family_room', 'fireplace', 'laundry_room', 'washer_dryer', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'modern_kitchen', 'large_kitchen', 'private_courtyard']"
6409641633,,,,,False,,,,,False,2004,,2022-11-22,1900000,6,,3,35719,10612,9,,,4,2,6,single_family,2021-04-26T21:17:42Z,1950000,sold,30101,Georgia,GA,Acworth,Cobb,6204 Arnall Ct NW,34.062654,-84.735612,"['central_air', 'central_heat', 'community_golf', 'community_gym', 'community_outdoor_space', 'community_security_features', 'community_spa_or_hot_tub', 'community_tennis_court', 'corner_lot', 'den_or_office', 'dishwasher', 'energy_efficient', 'family_room', 'fireplace', 'forced_air', 'game_room', 'golf_course_lot_or_frontage', 'golf_course_view', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'view', 'community_swimming_pool', 'swimming_pool', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'master_suite', 'front_porch', 'wine_cellar', 'elevator']"
6498547501,,,,,False,,,,,False,1977,,2022-11-22,299900,2,,,10402,1856,2,,,2,1,3,single_family,2022-09-23T14:47:42Z,299900,sold,30101,Georgia,GA,Acworth,Cobb,4700 Cheri Lynn Rd NW,34.02903,-84.686327,"['central_air', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'family_room', 'fireplace', 'forced_air', 'laundry_room', 'basement', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'big_yard', 'private_backyard', 'vaulted_ceiling', 'master_suite', 'media_room', 'farm', 'ranch', 'shopping']"
5711937988,,,,,,,,,,False,1999,,2022-11-22,285000,3,,,4594,2219,4,townhouse,,,3,5,townhomes,2022-10-28T20:09:02Z,309900,sold,30101,Georgia,GA,Acworth,Cobb,2504 Thorngate Dr,34.061027,-84.623632,"['central_air', 'central_heat', 'community_outdoor_space', 'community_security_features', 'den_or_office', 'dishwasher', 'energy_efficient', 'family_room', 'fireplace', 'forced_air', 'game_room', 'laundry_room', 'view', 'water_view', 'community_swimming_pool', 'basement', 'two_or_more_stories', 'waterfront', 'modern_kitchen', 'large_kitchen', 'fenced_yard', 'master_bedroom', 'low_hoa', 'media_room', 'lake', 'hoa', 'shopping']"
6228767972,,,,,,,,,,False,1989,,2022-11-22,425000,2,,1,14000,2567,3,,,2,2,4,single_family,2022-10-20T10:54:56Z,425000,sold,30101,Georgia,GA,Acworth,Cobb,1135 Fairwood Close NW,33.981425,-84.719851,"['central_air', 'central_heat', 'community_clubhouse', 'community_outdoor_space', 'community_security_features', 'community_tennis_court', 'den_or_office', 'dishwasher', 'family_room', 'fireplace', 'game_room', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'washer_dryer', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'basketball_court', 'fenced_yard', 'open_floor_plan', 'floor_plan', 'media_room', 'big_lot', 'ensuite', 'clubhouse', 'playground', 'tennis', 'basketball', 'medicalcare']"
